wahlkreis,wahlkreisname,gültige_stimmen_erst,spd_erst,afd_erst,cdu_erst,linke_erst,gruene_erst,fdp_erst,bsw_erst,others_erst,gültige_stimmen_zweit,spd_zweit,afd_zweit,cdu_zweit,linke_zweit,gruene_zweit,fdp_zweit,bsw_zweit,others_zweit
1,Mitte 1,20195,3332,824,4418,2688,6758,1541,0,634,20232,3077,822,4169,2594,6189,1625,0,1756
2,Mitte 2,20853,4485,1415,5195,3478,4180,1076,0,1024,20890,3667,1476,5064,3677,4070,1299,0,1637
3,Mitte 3,18794,3505,879,4196,2119,6207,1000,0,888,18820,3465,875,4185,2336,5281,1151,0,1527
4,Mitte 4,17040,2414,750,2696,2987,6837,584,0,772,17052,2509,776,2663,2866,5853,650,0,1735
5,Mitte 5,14894,3069,1280,3640,2076,3353,424,0,1052,14897,2742,1266,3586,2096,3226,470,0,1511
6,Mitte 6,13163,2127,752,1978,2773,4213,365,0,955,13153,1953,706,1940,2829,3779,370,0,1576
7,Mitte 7,14231,2623,768,2753,2492,4289,448,0,858,14224,2333,799,2526,2500,4047,497,0,1522
8,Friedrichshain-Kreuzberg 1,18408,3161,453,2814,2849,7422,617,0,1092,17150,2827,572,2912,3345,4988,509,0,1997
9,Friedrichshain-Kreuzberg 2,16731,2183,327,1833,4531,6349,388,0,1120,22229,3302,488,2557,4326,8936,706,0,1914
10,Friedrichshain-Kreuzberg 3,16072,2879,447,2381,3185,5634,356,0,1190,22789,2908,609,2699,4991,8302,755,0,2525
11,Friedrichshain-Kreuzberg 4,17759,3199,1222,3208,4388,3955,616,0,1171,22543,3782,1480,3778,4781,5450,805,0,2467
12,Friedrichshain-Kreuzberg 5,18913,2731,782,2086,4143,6833,638,0,1700,22393,2863,786,2371,5115,8229,783,0,2246
13,Pankow 1,21830,3117,3449,9085,2205,1998,553,0,1423,21827,3533,3711,7324,2407,2049,744,0,2059
14,Pankow 2,22468,4297,2909,7057,2442,3439,851,0,1473,22506,3951,2938,6660,2678,3205,1000,0,2074
15,Pankow 3,22726,3434,2142,4479,4880,5628,653,0,1510,22765,3884,2095,4615,3787,5239,775,0,2370
16,Pankow 4,18243,3607,2438,5505,2530,2311,515,0,1337,18270,3291,2479,5274,2606,2215,589,0,1816
17,Pankow 5,20026,3644,2124,4166,3553,4431,538,0,1570,20038,3491,2081,4133,3522,3920,619,0,2272
18,Pankow 6,21477,2990,730,2633,3927,8943,851,0,1403,21582,2849,758,2614,4131,8154,936,0,2140
19,Pankow 7,19331,3003,1390,3192,3552,5974,594,0,1626,19378,2893,1412,3114,3645,5329,693,0,2292
20,Pankow 8,20246,2993,790,2957,3676,7533,991,0,1306,20277,2761,782,2917,3784,6958,1131,0,1944
21,Pankow 9,21692,5551,1697,3663,3324,5267,675,0,1515,21721,3811,1721,3848,3905,5341,864,0,2231
22,Charlottenburg-Wilmersdorf 1,15863,3694,1238,4489,1281,3366,770,0,1025,15890,3307,1269,4357,1406,3206,863,0,1482
23,Charlottenburg-Wilmersdorf 2,20905,4297,1070,8088,977,4209,1256,0,1008,20929,4315,1124,7431,1177,3859,1681,0,1342
24,Charlottenburg-Wilmersdorf 3,20809,4495,839,5437,1951,6068,1025,0,994,20822,4303,868,5014,2112,5680,1315,0,1530
