wkr,party,partei,name,source
1,fdp,FDP,Dr. Maren Jasper-Winter,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
1,gruene,GRÜNE,Silke Gebel,https://gruene-mitte.de/wahl-2026
1,linke,LINKE,Anna Eiling,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
1,spd,SPD,Stanislav Klimovich,https://spd.berlin/kandidatinnen/
2,fdp,FDP,Eren Güvercin,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
2,gruene,GRÜNE,Katja Zimmermann,https://gruene-mitte.de/wahl-2026
2,linke,LINKE,Leo Diederich,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
2,spd,SPD,Nadine Riez,https://spd.berlin/kandidatinnen/
3,fdp,FDP,Gabriele Cocozza,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
3,gruene,GRÜNE,Jian Omar,https://gruene-mitte.de/wahl-2026
3,linke,LINKE,Tobias Schulze,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
3,spd,SPD,Lucy Merle Demers,https://spd.berlin/kandidatinnen/
4,fdp,FDP,Beatrice Höllen,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
4,gruene,GRÜNE,Taylan Kurt,https://gruene-mitte.de/wahl-2026
4,linke,LINKE,Jacky Sanehy,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
4,spd,SPD,Federico Quadrelli,https://spd.berlin/kandidatinnen/
5,fdp,FDP,Dr. Bettina von Seyfried,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
5,gruene,GRÜNE,Alexandra Bendzko,https://gruene-mitte.de/wahl-2026
5,linke,LINKE,Andreas Umgelter,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
5,spd,SPD,Mathias Schulz,https://spd.berlin/kandidatinnen/
6,fdp,FDP,Bastian Roet,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
6,gruene,GRÜNE,Tuba Bozkurt,https://gruene-mitte.de/wahl-2026
6,linke,LINKE,Martha Kleedörfer,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
6,spd,SPD,Susanne Fischer,https://spd.berlin/kandidatinnen/
7,fdp,FDP,Franz Teresiak,https://www.fdp-mitte.berlin/person-overview/kandidierende-fuer-die-agh-wahl-2026
7,gruene,GRÜNE,Tarek Massalme,https://gruene-mitte.de/wahl-2026
7,linke,LINKE,Deike Janssen,https://www.dielinke-berlin-mitte.de/berlin-wahlen-2026/agh-wahl/
7,spd,SPD,Maja Lasić,https://spd.berlin/kandidatinnen/
8,gruene,GRÜNE,Kübra Beydaş,https://gruene-xhain.de/die-gruenen-xhain-nominieren-direktkandidatinnen-fuer-die-abgeordnetenhauswahl-2026/
8,linke,LINKE,Elif Eralp,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
8,spd,SPD,Sevim Aydin,https://spd.berlin/kandidatinnen/
9,gruene,GRÜNE,Katrin Schmidberger,https://gruene-xhain.de/die-gruenen-xhain-nominieren-direktkandidatinnen-fuer-die-abgeordnetenhauswahl-2026/
9,linke,LINKE,Michael Efler,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
9,spd,SPD,Britt Schlünz,https://spd.berlin/kandidatinnen/
10,gruene,GRÜNE,Enad Altaweel,https://gruene-xhain.de/die-gruenen-xhain-nominieren-direktkandidatinnen-fuer-die-abgeordnetenhauswahl-2026/
10,linke,LINKE,Kerstin Wolter,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
10,spd,SPD,Sven Heinemann,https://spd.berlin/kandidatinnen/
11,gruene,GRÜNE,Antje Kapek,https://gruene-xhain.de/die-gruenen-xhain-nominieren-direktkandidatinnen-fuer-die-abgeordnetenhauswahl-2026/
11,linke,LINKE,Damiano Valgolio,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
11,spd,SPD,Thomas Giebel,https://spd.berlin/kandidatinnen/
12,gruene,GRÜNE,Vasili Franco,https://gruene-xhain.de/die-gruenen-xhain-nominieren-direktkandidatinnen-fuer-die-abgeordnetenhauswahl-2026/
12,linke,LINKE,Ekkehard Spiegel,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
12,spd,SPD,Steffen Opitz,https://spd.berlin/kandidatinnen/
13,cdu,CDU/CSU,Johannes Kraft,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html
13,fdp,FDP,Stefan Andresen,https://www.fdp-pankow.de/pressemitteilung-kandidatinnen-und-kandidaten-der-fdp-pankow-fuer-die-berliner-wahlen-2026
13,gruene,GRÜNE,Bettina Jarasch,https://gruene-pankow.de/team-agh26/
13,linke,LINKE,Maxi Häber,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
13,spd,SPD,Rona Tietje,https://spd.berlin/kandidatinnen/
