party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
spd,bezirk,01,1,Mathias Schulz,be:spd:person:mathias schulz,5,https://spd.berlin/kandidatinnen/,0
spd,bezirk,01,2,Dr. Maja Lasić,be:spd:person:maja lasic,7,https://spd.berlin/kandidatinnen/,0
spd,bezirk,01,3,Lucy Merle Demers,be:spd:person:lucy merle demers,3,https://spd.berlin/kandidatinnen/,0
spd,bezirk,01,4,Federico Quadrelli,be:spd:person:federico quadrelli,4,https://spd.berlin/kandidatinnen/,0
spd,bezirk,01,5,Susanne Fischer,be:spd:person:susanne fischer,6,https://spd.berlin/kandidatinnen/,0
spd,bezirk,01,6,Marion Blacher-Schwake,be:spd:person:marion blacher-schwake,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,02,1,Sevim Aydin,be:spd:person:sevim aydin,8,https://spd.berlin/kandidatinnen/,0
spd,bezirk,02,2,Sven Heinemann,be:spd:person:sven heinemann,10,https://spd.berlin/kandidatinnen/,0
spd,bezirk,02,3,Britt Schlünz,be:spd:person:britt schluenz,9,https://spd.berlin/kandidatinnen/,0
spd,bezirk,02,4,Thomas Giebel,be:spd:person:thomas giebel,11,https://spd.berlin/kandidatinnen/,0
spd,bezirk,02,5,Dora Oswald,be:spd:person:dora oswald,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,02,6,Steffen Opitz,be:spd:person:steffen opitz,12,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,1,Rona Tietje,be:spd:person:rona tietje,13,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,2,Dennis Buchner,be:spd:person:dennis buchner,16,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,3,Annette Unger,be:spd:person:annette unger,19,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,4,Tino Schopf,be:spd:person:tino schopf,21,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,5,Linda Vierecke,be:spd:person:linda vierecke,18,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,6,Torsten Hofer,be:spd:person:torsten hofer,14,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,7,Arne Gröschel,be:spd:person:arne groeschel,17,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,8,Katja Ahrens,be:spd:person:katja ahrens,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,9,Paul Krüger,be:spd:person:paul krueger,15,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,10,Birgit Mickley,be:spd:person:birgit mickley,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,03,11,Heiko Kretschmer,be:spd:person:heiko kretschmer,20,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,1,Florian Dörstelmann,be:spd:person:florian doerstelmann,28,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,2,Dr. Ann-Kathrin Biewener,be:spd:person:ann-kathrin biewener,27,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,3,Timur Sarić,be:spd:person:timur saric,25,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,4,Dr. Claudia Buß,be:spd:person:claudia buss,26,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,5,Nico Kaufmann,be:spd:person:nico kaufmann,22,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,6,Ülker Radziwill,be:spd:person:uelker radziwill,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,7,Christian Hochgrebe,be:spd:person:christian hochgrebe,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,8,Kristina Göllner,be:spd:person:kristina goellner,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,9,Johannes Gamer,be:spd:person:johannes gamer,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,10,Dr. Kabeh Führ-Hosseini,be:spd:person:kabeh fuehr-hosseini,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,11,Clemens Wilhelm Brandt,be:spd:person:clemens wilhelm brandt,23,https://spd.berlin/kandidatinnen/,0
spd,bezirk,04,12,Julia Selge,be:spd:person:julia selge,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,1,Raed Saleh,be:spd:person:raed saleh,30,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,2,Sebahat Atli,be:spd:person:sebahat atli,29,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,3,Stephan Machulik,be:spd:person:stephan machulik,31,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,4,Susanne Drescher,be:spd:person:susanne drescher,33,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,5,Marco Rumza,be:spd:person:marco rumza,32,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,6,Miloslava Büger,be:spd:person:miloslava bueger,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,7,Michael Stobbe,be:spd:person:michael stobbe,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,05,8,Dagmar Brückmann,be:spd:person:dagmar brueckmann,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,1,Steffen Krach,be:spd:person:steffen krach,35,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,2,Dr. Ina Czyborra,be:spd:person:ina czyborra,39,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,3,Martin Matz,be:spd:person:martin matz,36,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,4,Mirjam Golm,be:spd:person:mirjam golm,38,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,5,Norbert Buchta,be:spd:person:norbert buchta,40,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,6,Carolyn Macmillan,be:spd:person:carolyn macmillan,37,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,7,Andreas Linde,be:spd:person:andreas linde,,https://spd.berlin/kandidatinnen/,0
