list_pos,name,wkr_direct,source
1,Kristin Brinker,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html
2,Alexander Bertram,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html
3,Rolf Wiedenhaupt,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html
4,Jan Streeck,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html
5,Martin Kohler,,https://www.rbb24.de/politik/beitrag/2025/10/berlin-afd-parteitag-kandidaten-wahl-abgeordnetenhaus.html
6,Martin Trefzer,,https://noafd.info/agh/
7,Jeannette Auricht,63,https://noafd.info/agh/
8,Tommy Tabor,,https://noafd.info/agh/
9,Dr. Hugh Bronson,23,https://noafd.info/agh/
10,Carsten Ubbelohde,,https://noafd.info/agh/
11,Daniel Krüger,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/
12,Robert Eschricht,51,https://noafd.info/agh/
13,Marc Bernicke,,https://noafd.info/agh/
14,Frank-Christian Hansel,,https://noafd.info/agh/
15,Julian Adrat,,https://noafd.info/agh/
16,Marc Vallendar,,https://noafd.info/agh/
17,Frank Scheermesser,,https://noafd.info/agh/
18,David Eckert,,https://lichtenberg.afd.berlin/unsere-kandidaten-fuer-das-abgeordnetenhaus-von-berlin-2026/
19,Dennis Henkel,,https://noafd.info/agh/
20,Herbert Mohr,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/
21,Hendrik Pauli,53,https://noafd.info/agh/
22,Sarah Gröber,,https://noafd.info/agh/
23,Ralf Conradi,,https://noafd.info/agh/
24,Karl-Heinz Turban,,https://noafd.info/agh/
25,Stephan Knaute,67,https://lichtenberg.afd.berlin/unsere-kandidaten-fuer-das-abgeordnetenhaus-von-berlin-2026/
26,Christopher Wiedenhaupt,,https://noafd.info/agh/
27,Miriam Schroiff,,https://noafd.info/agh/
28,Hanno Bachmann,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/
29,Christian Müller,,https://noafd.info/agh/
30,Christopher Schweer,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/
31,Thomas Arhelger,50,https://noafd.info/agh/
32,Hermann Priegnitz,,https://noafd.info/agh/
33,Michael Zischka,,https://noafd.info/agh/
34,Katharina Oldenburg,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/
35,Andreas Quint,,https://noafd.info/agh/
