list_pos,name,wkr_direct,source
1,Dr. Alexander King,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
2,Dr. Michael Lüders,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
3,Josephine Thyrêt,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
4,Sevim Dagdelen,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
5,Norman Wolf,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
6,Wiebke Diehl,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
7,Robert Schneider,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
8,Alina Lindemann,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
9,Philippe Gouverneur,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
10,Manaf Hassan,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
11,Erwin Liedke,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
12,Martin Mnich,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
13,Andreas Preisner,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
14,Jonathan Farner,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
15,Viola Radke,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
16,Johann Geißler,,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/
17,Nicolai Röschert,,https://www.nd-aktuell.de/artikel/1201353.wahlen-parteien-berlinweit-auf-den-stimmzetteln.html
18,Sabine Zimmer,,https://www.nd-aktuell.de/artikel/1201353.wahlen-parteien-berlinweit-auf-den-stimmzetteln.html
19,Torsten Geißler,,https://www.nd-aktuell.de/artikel/1201353.wahlen-parteien-berlinweit-auf-den-stimmzetteln.html
