list_pos,name,wkr_direct,bezirk,source
1,Kai Wegner,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
2,Heiko Melzer,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
3,Bettina Meißner,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
4,Kerstin Brauner,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
5,Dr. Ersin Nas,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
6,Max Grüninger,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
7,Beate Bathe,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
8,Stefan Putzger,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
9,Silke Lehmann,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
10,Anastasia Vidojkovic,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
11,Christian König-Tumpiya,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
12,Jörg Mollenhauer,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
13,Ulrike Billerbeck,,05,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html
1,Cornelia Seibeld,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
2,Tom Cywinski,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
3,Stephan Standfuß,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
4,Dr. Claudia Wein,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
5,Jens Hoffmann,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
6,Marco Hahnfeld,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
7,Christoph Wegener,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
8,Dr. Marela Bone-Winkel,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
9,Iris Gertig,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
10,Sebastian Voigt,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
11,Jörg Schumacher,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
12,Henriette Kauer,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
13,Christine Mögling,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
14,André Bossy,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
15,Isabelle Thomsen,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
16,Dr. Christof Hasenburg,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
17,Dr. Laura Langner,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
18,Norman Hähmel,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
19,Sascha Schwarz,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
20,Bastian Hirsch,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
21,Kai Miederer,,06,https://www.cdusz.de/ueber-uns/kandidaten2026/
