list_pos,name,wkr_direct,source
1,Bettina Jarasch,13,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
2,Werner Graf,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
3,Daniela Ehlers,72,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
4,Silke Gebel,1,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
5,Klara Schedlich,78,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
6,Philmon Ghirmai,51,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
7,Gollaleh Ahmadi,31,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
8,Sebastian Walter,41,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
9,Elina Schumacher,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
10,André Schulze,48,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
11,Antje Kapek,11,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
12,Pascal Grothe,64,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
13,Bahar Haghanipour,49,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
14,Ario Ebrahimpour Mirzaie,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
15,Charlotte Steinmetz,56,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
16,Christoph Wapler,25,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
17,Tonka Wojahn,34,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
18,Bogusz Schmidt,74,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
19,Oda Hassepaß,15,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
20,Julian Schwarze,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
21,Jana Brix,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
22,Louis Krüger,17,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
23,Katja Zimmermann,2,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
24,Enad Altaweel,10,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
25,Petra Vandrey,24,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
26,Vasili Franco,12,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
27,Chantal Münster,63,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
28,Notker Schweikhardt,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
29,Catrin Wahlen,54,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
30,Philipp Ahrens,70,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
31,Anna Melnik,26,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
32,Willi Junga,57,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
33,Kristin Kosche,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
34,Oliver Jütting,21,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
35,Lela Sisauri,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
36,Konstantinos Kosmas,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
37,Marei Zylka,75,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
38,Sascha Taschenberger,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
39,Manuela Neubert,65,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
40,Georg Atta Mensah,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
41,Doreen Frowitter,29,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
42,Evan Vosberg,69,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
43,Elena Christine Steinbach,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
44,Friedrich Ehrhardt,16,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
45,Lilly Aepfelbach,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
46,Nicolas Völcker Ortega,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
47,Kristin Otto,68,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
48,Niclas Rother,61,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
49,Lisa Wolfram,,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
50,Jan Stiermann,52,https://www.gruene-berlin.de/unsere-kandidatinnen-als-liste/
