list_pos,name,wkr_direct,bezirk,source
1,Maximilian Schirmer,9,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
2,Enja Springob,5,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
3,Maria Bigos,6,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
4,Niklas Schrader,7,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
5,Maxi Häber,1,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
6,Christian Zebisch,3,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
7,Coco Aglibut,2,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
8,Devran Basbolat,4,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
9,Salomé Berhanu,,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
10,Gloria Viagra,8,03,https://www.die-linke-pankow.de/partei/hauptversammlung/vertreterinnenversammlung-zur-agh-wahl-2026/
