list_pos,name,wkr_direct,bezirk,source
1,Maja Jamal Eddine,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
2,Harald Gindra,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
3,Maria Stachira,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
4,Johannes Franck,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
5,Mia-Kim Ide,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
6,Christoph Böltes,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
7,Miriam Morhart,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
8,Vic Ribbeck,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
9,Philine Busch,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
10,Onur Yildirim,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
11,Rike Hildebrandt,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
12,Marius Brey,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
13,Dena Ghiassi-Maasser,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
14,Max Erik Schöne,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
15,Corinna Stupka,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
16,Paul Frieda Felsmann,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
17,Cäcilie Büttner,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
18,Michael Janßen,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
19,Leonie Adler,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
20,Benjamin Barner,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
21,Philipp Lachmund,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
22,Jakob Waidner,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
23,Finn Leben,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
24,Michal Lech,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
