list_pos,name,wkr_direct,bezirk,source
1,Steffen Krach,,06,https://spd.berlin/kandidatinnen/
2,Dr. Ina Czyborra,,06,https://spd.berlin/kandidatinnen/
3,Martin Matz,,06,https://spd.berlin/kandidatinnen/
4,Mirjam Golm,,06,https://spd.berlin/kandidatinnen/
5,Norbert Buchta,,06,https://spd.berlin/kandidatinnen/
6,Carolyn Macmillan,,06,https://spd.berlin/kandidatinnen/
7,Andreas Linde,,06,https://spd.berlin/kandidatinnen/
8,Franziska Grün,,06,https://spd.berlin/kandidatinnen/
9,Matthias Trenczek,,06,https://spd.berlin/kandidatinnen/
10,Sarah Maurer,,06,https://spd.berlin/kandidatinnen/
11,Patrik John,,06,https://spd.berlin/kandidatinnen/
12,Esra Kosan,,06,https://spd.berlin/kandidatinnen/
13,Matthias Kollatz,,06,https://spd.berlin/kandidatinnen/
