list_pos,name,wkr_direct,bezirk,source
1,Mathias Schulz,,01,https://spd.berlin/kandidatinnen/
2,Dr. Maja Lasić,,01,https://spd.berlin/kandidatinnen/
3,Lucy Merle Demers,,01,https://spd.berlin/kandidatinnen/
4,Federico Quadrelli,,01,https://spd.berlin/kandidatinnen/
5,Susanne Fischer,,01,https://spd.berlin/kandidatinnen/
6,Marion Blacher-Schwake,,01,https://spd.berlin/kandidatinnen/
1,Sevim Aydin,,02,https://spd.berlin/kandidatinnen/
2,Sven Heinemann,,02,https://spd.berlin/kandidatinnen/
3,Britt Schlünz,,02,https://spd.berlin/kandidatinnen/
4,Thomas Giebel,,02,https://spd.berlin/kandidatinnen/
5,Dora Oswald,,02,https://spd.berlin/kandidatinnen/
6,Steffen Opitz,,02,https://spd.berlin/kandidatinnen/
1,Rona Tietje,,03,https://spd.berlin/kandidatinnen/
2,Dennis Buchner,,03,https://spd.berlin/kandidatinnen/
3,Annette Unger,,03,https://spd.berlin/kandidatinnen/
4,Tino Schopf,,03,https://spd.berlin/kandidatinnen/
5,Linda Vierecke,,03,https://spd.berlin/kandidatinnen/
6,Torsten Hofer,,03,https://spd.berlin/kandidatinnen/
7,Arne Gröschel,,03,https://spd.berlin/kandidatinnen/
8,Katja Ahrens,,03,https://spd.berlin/kandidatinnen/
9,Paul Krüger,,03,https://spd.berlin/kandidatinnen/
10,Birgit Mickley,,03,https://spd.berlin/kandidatinnen/
11,Heiko Kretschmer,,03,https://spd.berlin/kandidatinnen/
1,Florian Dörstelmann,,04,https://spd.berlin/kandidatinnen/
2,Dr. Ann-Kathrin Biewener,,04,https://spd.berlin/kandidatinnen/
3,Timur Sarić,,04,https://spd.berlin/kandidatinnen/
4,Dr. Claudia Buß,,04,https://spd.berlin/kandidatinnen/
5,Nico Kaufmann,,04,https://spd.berlin/kandidatinnen/
6,Ülker Radziwill,,04,https://spd.berlin/kandidatinnen/
7,Christian Hochgrebe,,04,https://spd.berlin/kandidatinnen/
8,Kristina Göllner,,04,https://spd.berlin/kandidatinnen/
9,Johannes Gamer,,04,https://spd.berlin/kandidatinnen/
10,Dr. Kabeh Führ-Hosseini,,04,https://spd.berlin/kandidatinnen/
11,Clemens Brandt,,04,https://spd.berlin/kandidatinnen/
12,Julia Selge,,04,https://spd.berlin/kandidatinnen/
1,Raed Saleh,,05,https://spd.berlin/kandidatinnen/
2,Sebahat Atli,,05,https://spd.berlin/kandidatinnen/
3,Stephan Machulik,,05,https://spd.berlin/kandidatinnen/
4,Susanne Drescher,,05,https://spd.berlin/kandidatinnen/
5,Marco Rumza,,05,https://spd.berlin/kandidatinnen/
6,Miloslava Büger,,05,https://spd.berlin/kandidatinnen/
7,Michael Stobbe,,05,https://spd.berlin/kandidatinnen/
8,Dagmar Brückmann,,05,https://spd.berlin/kandidatinnen/
1,Steffen Krach,,06,https://spd.berlin/kandidatinnen/
2,Dr. Ina Czyborra,,06,https://spd.berlin/kandidatinnen/
3,Martin Matz,,06,https://spd.berlin/kandidatinnen/
4,Mirjam Golm,,06,https://spd.berlin/kandidatinnen/
5,Norbert Buchta,,06,https://spd.berlin/kandidatinnen/
6,Carolyn Macmillan,,06,https://spd.berlin/kandidatinnen/
7,Andreas Linde,,06,https://spd.berlin/kandidatinnen/
8,Franziska Grün,,06,https://spd.berlin/kandidatinnen/
9,Matthias Trenczek,,06,https://spd.berlin/kandidatinnen/
10,Sarah Maurer,,06,https://spd.berlin/kandidatinnen/
11,Patrik John,,06,https://spd.berlin/kandidatinnen/
12,Esra Kosan,,06,https://spd.berlin/kandidatinnen/
13,Matthias Kollatz,,06,https://spd.berlin/kandidatinnen/
1,Wiebke Neumann,,07,https://spd.berlin/kandidatinnen/
2,Orkan Özdemir,,07,https://spd.berlin/kandidatinnen/
3,Melanie Kühnemann-Grunow,,07,https://spd.berlin/kandidatinnen/
4,Michael Biel,,07,https://spd.berlin/kandidatinnen/
5,Annette Hertlein,,07,https://spd.berlin/kandidatinnen/
6,Sebastian Schlüsselburg,,07,https://spd.berlin/kandidatinnen/
7,Kari Lenke,,07,https://spd.berlin/kandidatinnen/
8,Oliver Schworck,,07,https://spd.berlin/kandidatinnen/
1,Derya Çağlar,,08,https://spd.berlin/kandidatinnen/
2,Marcel Hopp,,08,https://spd.berlin/kandidatinnen/
3,Charlotte Mende,,08,https://spd.berlin/kandidatinnen/
4,Joachim Rahmann,,08,https://spd.berlin/kandidatinnen/
5,Anne Roever,,08,https://spd.berlin/kandidatinnen/
6,Akilnathan Logeswaran,,08,https://spd.berlin/kandidatinnen/
7,Ines Woithe,,08,https://spd.berlin/kandidatinnen/
1,Julia Dittmar,,09,https://spd.berlin/kandidatinnen/
2,Alexander Freier-Winterwerb,,09,https://spd.berlin/kandidatinnen/
3,Ellen Haußdörfer,,09,https://spd.berlin/kandidatinnen/
4,Paul Bahlmann,,09,https://spd.berlin/kandidatinnen/
5,Sara Rüdiger,,09,https://spd.berlin/kandidatinnen/
6,Lars Düsterhöft,,09,https://spd.berlin/kandidatinnen/
7,Katharina Jahn-Günther,,09,https://spd.berlin/kandidatinnen/
8,Asya Aldiri,,09,https://spd.berlin/kandidatinnen/
1,Iris Spranger,,10,https://spd.berlin/kandidatinnen/
2,Jan Lehmann,,10,https://spd.berlin/kandidatinnen/
3,Dr. Luise Lehmann,,10,https://spd.berlin/kandidatinnen/
4,Enrico Bloch,,10,https://spd.berlin/kandidatinnen/
5,Maria Geidel,,10,https://spd.berlin/kandidatinnen/
6,Eike Arnold,,10,https://spd.berlin/kandidatinnen/
1,Tamara Lüdke,,11,https://spd.berlin/kandidatinnen/
2,Marlon Bünck,,11,https://spd.berlin/kandidatinnen/
3,Marie Scharfenberg,,11,https://spd.berlin/kandidatinnen/
4,Uwe Heinecke,,11,https://spd.berlin/kandidatinnen/
5,Stefan Schenck,,11,https://spd.berlin/kandidatinnen/
1,Bettina König,,12,https://spd.berlin/kandidatinnen/
2,Sven Meyer,,12,https://spd.berlin/kandidatinnen/
3,Laurence Stroedter,,12,https://spd.berlin/kandidatinnen/
4,Kai Kottenstede,,12,https://spd.berlin/kandidatinnen/
5,Sevda Boyraci,,12,https://spd.berlin/kandidatinnen/
6,Samuel Märkt,,12,https://spd.berlin/kandidatinnen/
7,Hayal Düz,,12,https://spd.berlin/kandidatinnen/
8,Sascha Rudloff,,12,https://spd.berlin/kandidatinnen/
9,Angela Budweg,,12,https://spd.berlin/kandidatinnen/
10,Kán Lindner,,12,https://spd.berlin/kandidatinnen/
11,Nicole Borkenhagen,,12,https://spd.berlin/kandidatinnen/
12,Darrell Kanngießer,,12,https://spd.berlin/kandidatinnen/
