wkr,party,partei,name,bezirk,wk_local,source
1,afd,AfD,Sabine Schüler,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
1,bsw,BSW,Sven Diedrich,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
1,cdu,CDU/CSU,Monika Trautmann,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
1,fdp,FDP,Dr. Maren Jasper-Winter,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
1,gruene,GRÜNE,Silke Gebel,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
1,linke,LINKE,Anna Eiling,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
1,spd,SPD,Dr. Stanislav Klimovich,01,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-1.pdf
2,afd,AfD,Jens-Hermann Priegnitz,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
2,bsw,BSW,Sevim Dağdelen,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
2,cdu,CDU/CSU,Lucas Schaal,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
2,fdp,FDP,Eren Güvercin,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
2,gruene,GRÜNE,Katja Zimmermann,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
2,linke,LINKE,Leonard Diederich,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
2,spd,SPD,Nadine Riez,01,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-2.pdf
3,afd,AfD,Steffen Lent,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
3,bsw,BSW,Erdinç Kardaşlar,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
3,cdu,CDU/CSU,Sylvia Ganz,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
3,fdp,FDP,Gabriele Cocozza,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
3,gruene,GRÜNE,Jian Omar,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
3,linke,LINKE,Tobias Schulze,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
3,spd,SPD,Lucy Merle Demers,01,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-3.pdf
4,afd,AfD,Eduard Müller,01,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-4.pdf
4,bsw,BSW,Dunya El Amrani,01,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-4.pdf
