state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,aw_wkr,aw_list_pos,source
ST,afd,Alexander Raue,alexander raue,exact,Alexander Raue,afd,152774,https://www.abgeordnetenwatch.de/profile/alexander-raue,35,50,abgeordnetenwatch
ST,afd,Andreas Best,andreas best,exact,Andreas Best,afd,185518,https://www.abgeordnetenwatch.de/profile/andreas-best,24,25,abgeordnetenwatch
ST,afd,Andreas Gehlmann,andreas gehlmann,exact,Andreas Gehlmann,afd,152769,https://www.abgeordnetenwatch.de/profile/andreas-gehlmann,31,30,abgeordnetenwatch
ST,afd,Armin Friese,armin friese,exact,Armin Friese,afd,185504,https://www.abgeordnetenwatch.de/profile/armin-friese,15,,abgeordnetenwatch
ST,afd,Benedikt Weiß,benedikt weiss,exact,Benedikt Weiß,afd,185499,https://www.abgeordnetenwatch.de/profile/benedikt-weiss,36,,abgeordnetenwatch
ST,afd,Burkhardt Ratzmann,burkhardt ratzmann,exact,Burkhardt Ratzmann,afd,185114,https://www.abgeordnetenwatch.de/profile/burkhardt-ratzmann,26,48,abgeordnetenwatch
ST,afd,Christian Mertens,christian mertens,exact,Christian Mertens,afd,175009,https://www.abgeordnetenwatch.de/profile/christian-mertens,12,24,abgeordnetenwatch
ST,afd,Christian Ulrich Hecht,christian ulrich hecht,first_last,Christian Hecht,afd,175011,https://www.abgeordnetenwatch.de/profile/christian-hecht,14,14,abgeordnetenwatch
ST,afd,Daniel Rausch,daniel rausch,exact,Daniel Rausch,afd,152785,https://www.abgeordnetenwatch.de/profile/daniel-rausch,18,22,abgeordnetenwatch
ST,afd,Daniel Roi,daniel roi,exact,Daniel Roi,afd,121039,https://www.abgeordnetenwatch.de/profile/daniel-roi,28,,abgeordnetenwatch
ST,afd,Daniel Wald,daniel wald,exact,Daniel Wald,afd,155492,https://www.abgeordnetenwatch.de/profile/daniel-wald,33,10,abgeordnetenwatch
ST,afd,Dennis Möhring,dennis moehring,exact,Dennis Möhring,afd,175014,https://www.abgeordnetenwatch.de/profile/dennis-moehring,17,12,abgeordnetenwatch
ST,afd,Dirk Jonas,dirk jonas,exact,Dirk Jonas,afd,185673,https://www.abgeordnetenwatch.de/profile/dirk-jonas,39,41,abgeordnetenwatch
ST,afd,Dirk Lassowski,dirk lassowski,exact,Dirk Lassowski,afd,185510,https://www.abgeordnetenwatch.de/profile/dirk-lassowski,7,21,abgeordnetenwatch
ST,afd,Dr. Hans-Thomas Tillschneider,hans-thomas tillschneider,exact,Hans-Thomas Tillschneider,afd,152773,https://www.abgeordnetenwatch.de/profile/hans-thomas-tillschneider,32,3,abgeordnetenwatch
ST,afd,Dr. Jan Moldenhauer,jan moldenhauer,exact,Jan Moldenhauer,afd,175010,https://www.abgeordnetenwatch.de/profile/jan-moldenhauer,21,7,abgeordnetenwatch
ST,afd,Felix Zietmann,felix zietmann,exact,Felix Zietmann,afd,175007,https://www.abgeordnetenwatch.de/profile/felix-zietmann,8,11,abgeordnetenwatch
ST,afd,Florian Schröder,florian schroeder,exact,Florian Schröder,afd,175020,https://www.abgeordnetenwatch.de/profile/florian-schroeder,29,16,abgeordnetenwatch
