state,election,election_l1,wkr,wkr_name,party,resp_E,resp_Z,res_l1_E,res_l1_Z,no_cand_l1,source
MV,2016,2011,1,Greifswald,spd,0.283174,0.27813,0.414221,0.275572,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,1,Greifswald,afd,0.198969,0.187013,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,1,Greifswald,cdu,0.206664,0.185999,0.233516,0.233741,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,1,Greifswald,linke,0.136324,0.129106,0.150035,0.173416,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,1,Greifswald,gruene,0.094367,0.102669,0.121796,0.157679,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,1,Greifswald,fdp,0.036767,0.038641,0.027532,0.029695,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,1,Greifswald,others,0.043735,0.078441,0.052899,0.129896,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,spd,0.313724,0.309254,0.401997,0.384201,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,afd,0.227736,0.217103,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,cdu,0.158135,0.156645,0.241985,0.19534,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,linke,0.227279,0.187492,0.217648,0.227667,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,gruene,0.044529,0.033581,0.061644,0.067637,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,fdp,0.028598,0.021801,0.021568,0.019731,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,2,Neubrandenburg I,others,0.0,0.074125,0.055159,0.105424,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,spd,0.323718,0.304074,0.382429,0.368085,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,afd,0.223191,0.209631,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,cdu,0.202433,0.170135,0.256079,0.216222,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,linke,0.16744,0.165026,0.201425,0.203365,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,gruene,0.04578,0.045602,0.072945,0.083168,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,fdp,0.037439,0.027598,0.018144,0.022188,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,3,Neubrandenburg II,others,0.0,0.077934,0.068978,0.106972,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,spd,0.334962,0.324465,0.344248,0.348855,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,afd,0.228179,0.214275,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,cdu,0.157948,0.146045,0.176224,0.158592,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,linke,0.161589,0.163019,0.260059,0.245187,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,gruene,0.04187,0.04234,0.091622,0.096956,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,fdp,0.031283,0.027273,0.020531,0.023312,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,4,Hansestadt Rostock I,others,0.04417,0.082582,0.107316,0.127097,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,spd,0.363286,0.360631,0.385659,0.381806,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,afd,0.19563,0.185209,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,cdu,0.135377,0.127621,0.147003,0.134381,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,linke,0.216167,0.182864,0.303398,0.268446,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,gruene,0.058893,0.045096,0.094185,0.086399,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,fdp,0.030648,0.02372,0.017149,0.016449,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,5,Hansestadt Rostock II,others,0.0,0.074859,0.052607,0.112518,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,spd,0.313811,0.326326,0.415085,0.327128,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,afd,0.123724,0.121843,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,cdu,0.166413,0.161301,0.183809,0.1697,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,linke,0.205774,0.169381,0.181574,0.180387,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,gruene,0.114882,0.120044,0.137819,0.190696,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,fdp,0.032642,0.032828,0.025192,0.02496,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,6,Hansestadt Rostock III,others,0.042752,0.068277,0.056522,0.107129,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,spd,0.290285,0.302835,0.314753,0.306231,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,afd,0.180457,0.172558,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,cdu,0.195128,0.171238,0.228444,0.181349,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,linke,0.194862,0.151632,0.227408,0.192909,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,gruene,0.098808,0.091296,0.163939,0.16807,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,fdp,0.040459,0.035779,0.026683,0.032058,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,7,Hansestadt Rostock IV,others,0.0,0.074661,0.038772,0.119381,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,spd,0.473602,0.345966,0.462204,0.384493,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,afd,0.140352,0.147256,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,cdu,0.154748,0.188488,0.203046,0.192717,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,linke,0.099869,0.136784,0.155946,0.17558,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,gruene,0.053106,0.077789,0.093764,0.125652,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,fdp,0.033083,0.03316,0.019879,0.023804,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,8,Schwerin I,others,0.04524,0.070558,0.065162,0.097754,0,ltw11-21_meckpom_abs.csv
