first_name,gender,method,notes
sascha,m,manual,In DE almost always male; gender-guesser mostly_male
chris,m,manual,DE usage almost always male here
jannik,m,manual,DE diminutive of Jan/Johannes
jascha,m,manual,DE/RU male (Yasha)
wenke,f,manual,Low German / MV female name
derya,f,manual,Turkish female (also rare male; these candidates female)
vivien,f,manual,
eike,m,manual,In contemporary DE politics usually male; still verify edge cases
can,m,manual,Turkish male given name (candidates here)
artjom,m,manual,Russian Артём / Artem
loic,m,manual,French Loïc
bogusz,m,manual,Polish male
philmon,m,manual,Philmon Ghirmai (public male)
ruven,m,manual,Variant of Ruben
mamad,m,manual,Short for Mamadou / Mohammad
asem,m,manual,Arabic male (verify Asem Alsayjare if needed)
akilnathan,m,manual,Akilnathan Logeswaran (public male)
ariturel,m,manual,Ariturel Hack (public male)
ottopeter,m,manual,Compound Otto+Peter
aick,m,manual,Frisian male name
felor,f,manual,Felor Badenberg (public female)
gollaleh,f,manual,Gollaleh Ahmadi (public female)
hayal,f,manual,Turkish female name
jelisaweta,f,manual,Russian Yelisaveta / Elizabeth
enja,f,manual,
matea,f,manual,South Slavic female
marela,f,manual,Marela Bone-Winkel (public female)
mathia,f,manual,Mathia Specht-Habbel (public female)
suncica,f,manual,Sunčica / Serbian female
uelker,f,manual,Ülker Radziwill (public female)
niluefer,f,manual,Nilüfer Turkish female
nurguel,f,manual,Nurgül Turkish female
kuebra,f,manual,Kübra Turkish female
guelistan,f,manual,Gülistan Turkish female
betuel,f,manual,Betül Turkish female
buesra,f,manual,Büşra Turkish female
caecilie,f,manual,Cäcilie
robbin,m,manual,Robbin Juhnke CDU MdA (male; dict says mostly_female)
jian,m,manual,Jian Omar (public male)
laszlo,m,manual,László
skady,f,manual,Skady Herkenrath (public female)
