state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,mandate_won,seat_label,chamber,source
BE,afd,Alexander Bertram,alexander bertram,exact,Alexander Bertram,afd,123051,https://www.abgeordnetenwatch.de/profile/alexander-bertram,list,902 - Treptow-Köpenick 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Carsten Ubbelohde,carsten ubbelohde,exact,Carsten Ubbelohde,afd,122981,https://www.abgeordnetenwatch.de/profile/carsten-ubbelohde,list,1205 - Reinickendorf 5 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Dr. Hugh Bronson,hugh bronson,first_last,Hugh Theodore Bronson,afd,122984,https://www.abgeordnetenwatch.de/profile/hugh-theodore-bronson,list,402 - Charlottenburg-Wilmersdorf 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Frank Scheermesser,frank scheermesser,exact,Frank Scheermesser,afd,122987,https://www.abgeordnetenwatch.de/profile/frank-scheermesser,moved_up,201 - Friedrichshain-Kreuzberg 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Frank-Christian Hansel,frank-christian hansel,exact,Frank-Christian Hansel,afd,123047,https://www.abgeordnetenwatch.de/profile/frank-christian-hansel,list,702 - Tempelhof-Schöneberg 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Gunnar Lindemann,gunnar lindemann,first_last,Gunnar N. Lindemann,afd,122997,https://www.abgeordnetenwatch.de/profile/gunnar-n-lindemann,constituency,1001 - Marzahn-Hellersdorf 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Jeannette Auricht,jeannette auricht,exact,Jeannette Auricht,afd,123001,https://www.abgeordnetenwatch.de/profile/jeannette-auricht,constituency,1003 - Marzahn-Hellersdorf 3 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Kristin Brinker,kristin brinker,exact,Kristin Brinker,afd,141106,https://www.abgeordnetenwatch.de/profile/kristin-brinker,list,601 - Steglitz-Zehlendorf 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Marc Vallendar,marc vallendar,exact,Marc Vallendar,afd,122982,https://www.abgeordnetenwatch.de/profile/marc-vallendar,list,401 - Charlottenburg-Wilmersdorf 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Martin Trefzer,martin trefzer,exact,Martin Trefzer,afd,123054,https://www.abgeordnetenwatch.de/profile/martin-trefzer,list,905 - Treptow-Köpenick 5 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Robert Eschricht,robert eschricht,exact,Robert Eschricht,afd,177632,https://www.abgeordnetenwatch.de/profile/robert-eschricht,list,804 - Neukölln 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Rolf Wiedenhaupt,rolf wiedenhaupt,exact,Rolf Wiedenhaupt,afd,176619,https://www.abgeordnetenwatch.de/profile/rolf-wiedenhaupt,list,1202 - Reinickendorf 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,afd,Tommy Tabor,tommy tabor,exact,Tommy Tabor,afd,123033,https://www.abgeordnetenwatch.de/profile/tommy-tabor,list,502 - Spandau 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,bsw,Dr. Alexander King,alexander king,exact_cross_party,Alexander King,,146081,https://www.abgeordnetenwatch.de/profile/alexander-king,moved_up,707 - Tempelhof-Schöneberg 7 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Aldona Niemczyk,aldona niemczyk,exact,Aldona Niemczyk,cdu,176464,https://www.abgeordnetenwatch.de/profile/aldona-niemczyk,constituency,404 - Charlottenburg-Wilmersdorf 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Ariturel Hack,ariturel hack,exact,Ariturel Hack,cdu,176463,https://www.abgeordnetenwatch.de/profile/ariturel-hack,constituency,402 - Charlottenburg-Wilmersdorf 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Bettina Meißner,bettina meissner,exact,Bettina Meißner,cdu,117612,https://www.abgeordnetenwatch.de/profile/bettina-meissner,constituency,501 - Spandau 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Burkard Dregger,burkard dregger,exact,Burkard Dregger,cdu,117430,https://www.abgeordnetenwatch.de/profile/burkard-dregger,constituency,1201 - Reinickendorf 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Christian Zander,christian zander,exact,Christian Zander,cdu,117627,https://www.abgeordnetenwatch.de/profile/christian-zander,constituency,707 - Tempelhof-Schöneberg 7 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Christopher Förster,christopher foerster,exact,Christopher Förster,cdu,122769,https://www.abgeordnetenwatch.de/profile/christopher-foerster,constituency,804 - Neukölln 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Cornelia Seibeld,cornelia seibeld,exact,Cornelia Seibeld,cdu,117442,https://www.abgeordnetenwatch.de/profile/cornelia-seibeld,constituency,604 - Steglitz-Zehlendorf 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Danny Freymark,danny freymark,exact,Danny Freymark,cdu,117444,https://www.abgeordnetenwatch.de/profile/danny-freymark,constituency,1101 - Lichtenberg 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Dennis Haustein,dennis haustein,exact,Dennis Haustein,cdu,176481,https://www.abgeordnetenwatch.de/profile/dennis-haustein,constituency,1103 - Lichtenberg 3 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Dirk Stettner,dirk stettner,exact,Dirk Stettner,cdu,117449,https://www.abgeordnetenwatch.de/profile/dirk-stettner,constituency,304 - Pankow 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Dr. Claudia Wein,claudia wein,exact,Claudia Wein,cdu,176467,https://www.abgeordnetenwatch.de/profile/claudia-wein,constituency,601 - Steglitz-Zehlendorf 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Dr. Ersin Nas,ersin nas,exact,Ersin Nas,cdu,123286,https://www.abgeordnetenwatch.de/profile/ersin-nas,constituency,502 - Spandau 2 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Dr. Martin Sattelkau,martin sattelkau,exact,Martin Sattelkau,cdu,117681,https://www.abgeordnetenwatch.de/profile/martin-sattelkau,constituency,905 - Treptow-Köpenick 5 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Dr. Robbin Juhnke,robbin juhnke,exact,Robbin Juhnke,cdu,117455,https://www.abgeordnetenwatch.de/profile/robbin-juhnke,constituency,805 - Neukölln 5 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Frank Luhmann,frank luhmann,exact,Frank Luhmann,cdu,176472,https://www.abgeordnetenwatch.de/profile/frank-luhmann,constituency,704 - Tempelhof-Schöneberg 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Heiko Melzer,heiko melzer,exact,Heiko Melzer,cdu,117483,https://www.abgeordnetenwatch.de/profile/heiko-melzer,constituency,504 - Spandau 4 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Iris Gertig,iris gertig,exact,Iris Gertig,cdu,179809,https://www.abgeordnetenwatch.de/profile/iris-gertig,moved_up,605 - Steglitz-Zehlendorf 5 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Johannes Kraft,johannes kraft,exact,Johannes Kraft,cdu,117785,https://www.abgeordnetenwatch.de/profile/johannes-kraft,constituency,301 - Pankow 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Kai Wegner,kai wegner,exact,Kai Wegner,cdu,78928,https://www.abgeordnetenwatch.de/profile/kai-wegner,constituency,505 - Spandau 5 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Katharina Senge,katharina senge,exact,Katharina Senge,cdu,176469,https://www.abgeordnetenwatch.de/profile/katharina-senge,list,701 - Tempelhof-Schöneberg 1 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
BE,cdu,Kerstin Brauner,kerstin brauner,exact,Kerstin Brauner,cdu,176466,https://www.abgeordnetenwatch.de/profile/kerstin-brauner,constituency,503 - Spandau 3 (Berlin 2021 - 2026),MdA,abgeordnetenwatch
