Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Gemeinden am 20.09.2026 um 20:10:38 Uhr - Stimmenanzahl der Parteien
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Beispiel: 13071751 - Briefwahlergebnis der Gemeinden des Amtes Demmin-Land (Amt 5151) / Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 20:10:38;A;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;108;109077;67727;62,1;1;690;67037;26237;18829;3341;11144;3305;955;x;x;x;x;x;x;3027;x;x;x;x;199;x;x;x
20.09.2026 20:10:38;P;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;108;109077;67727;62,1;1;1,0;99,0;39,1;28,1;5,0;16,6;4,9;1,4;x;x;x;x;x;x;4,5;x;x;x;x;0,3;x;x;x
20.09.2026 20:10:38;A;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;108;109077;67727;62,1;2;450;67277;23825;18285;2765;8497;7790;657;736;156;231;187;85;51;3164;229;85;79;147;255;53;x;x
20.09.2026 20:10:38;P;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;108;109077;67727;62,1;2;0,7;99,3;35,4;27,2;4,1;12,6;11,6;1,0;1,1;0,2;0,3;0,3;0,1;0,1;4,7;0,3;0,1;0,1;0,2;0,4;0,1;x;x
20.09.2026 20:10:38;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;58;51803;43237;83,5;1;309;42928;22027;12963;2341;2138;1084;470;x;292;x;x;x;x;1384;x;x;x;118;111;x;x;x
20.09.2026 20:10:38;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;58;51803;43237;83,5;1;0,7;99,3;51,3;30,2;5,5;5,0;2,5;1,1;x;0,7;x;x;x;x;3,2;x;x;x;0,3;0,3;x;x;x
20.09.2026 20:10:38;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;58;51803;43237;83,5;2;313;42924;16692;12419;2775;3382;3957;421;338;188;146;73;36;26;1996;144;31;25;145;97;33;x;x
20.09.2026 20:10:38;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;58;51803;43237;83,5;2;0,7;99,3;38,9;28,9;6,5;7,9;9,2;1,0;0,8;0,4;0,3;0,2;0,1;0,1;4,7;0,3;0,1;0,1;0,3;0,2;0,1;x;x
20.09.2026 20:10:38;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;36;30336;22074;72,8;1;309;21765;8270;8325;1238;2101;449;x;x;x;x;x;x;x;1311;x;x;x;71;x;x;x;x
20.09.2026 20:10:38;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;36;30336;22074;72,8;1;1,4;98,6;38,0;38,2;5,7;9,7;2,1;x;x;x;x;x;x;x;6,0;x;x;x;0,3;x;x;x;x
