Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis am 20.09.2026 um 18:00:00 Uhr - Mandate der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Sort;Wahlkreis;Wahlkreisname/Land;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Mandatstyp;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 18:00:00;1;1;Greifswald;60;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;0;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 18:00:00;2;2;Neubrandenburg I;27;0;0;0;Direktmandate;0;0;0;0;0;x;x;x;x;x;x;x;0;x;x;x;0;x;x;x;x
20.09.2026 18:00:00;3;3;Neubrandenburg II;29;0;0;0;Direktmandate;0;0;0;0;0;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 18:00:00;4;4;Hansestadt Rostock I;40;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 18:00:00;5;5;Hansestadt Rostock II;40;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 18:00:00;6;6;Hansestadt Rostock III;53;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;0;x;x;x
20.09.2026 18:00:00;7;7;Hansestadt Rostock IV;53;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 18:00:00;8;8;Schwerin I;51;0;0;0;Direktmandate;0;0;0;0;0;0;x;0;x;x;x;x;0;x;x;x;0;0;x;x;x
20.09.2026 18:00:00;9;9;Schwerin II;28;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
20.09.2026 18:00:00;10;10;Wismar;36;0;0;0;Direktmandate;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
