Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Wahlkreise am 20.09.2026 um 20:55:38 Uhr - Stimmenanzahl der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Wahlkreis;Wahlkreisname/Land;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 20:55:38;A;1;Greifswald;60;50;35725;27305;76,4;1;271;27034;10574;7738;1421;4299;1480;434;x;x;343;x;x;x;745;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;P;1;Greifswald;60;50;35725;27305;76,4;1;1,0;99,0;39,1;28,6;5,3;15,9;5,5;1,6;x;x;1,3;x;x;x;2,8;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;A;1;Greifswald;60;50;35725;27305;76,4;2;210;27095;8910;7562;1287;3490;3551;378;404;70;124;39;22;21;921;90;26;43;39;95;23;x;x
20.09.2026 20:55:38;P;1;Greifswald;60;50;35725;27305;76,4;2;0,8;99,2;32,9;27,9;4,7;12,9;13,1;1,4;1,5;0,3;0,5;0,1;0,1;0,1;3,4;0,3;0,1;0,2;0,1;0,4;0,1;x;x
20.09.2026 20:55:38;A;2;Neubrandenburg I;27;25;23754;17085;71,9;1;200;16885;6339;6369;1046;1680;401;x;x;x;x;x;x;x;918;x;x;x;132;x;x;x;x
20.09.2026 20:55:38;P;2;Neubrandenburg I;27;25;23754;17085;71,9;1;1,2;98,8;37,5;37,7;6,2;9,9;2,4;x;x;x;x;x;x;x;5,4;x;x;x;0,8;x;x;x;x
20.09.2026 20:55:38;A;2;Neubrandenburg I;27;25;23754;17085;71,9;2;147;16938;6559;6213;744;1245;554;107;164;31;31;11;7;14;1024;76;16;17;65;33;27;x;x
20.09.2026 20:55:38;P;2;Neubrandenburg I;27;25;23754;17085;71,9;2;0,9;99,1;38,7;36,7;4,4;7,4;3,3;0,6;1,0;0,2;0,2;0,1;0,0;0,1;6,0;0,4;0,1;0,1;0,4;0,2;0,2;x;x
20.09.2026 20:55:38;A;3;Neubrandenburg II;29;27;21842;17303;79,2;1;257;17046;6876;6155;1026;1559;333;x;x;x;x;x;x;x;1097;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;P;3;Neubrandenburg II;29;27;21842;17303;79,2;1;1,5;98,5;40,3;36,1;6,0;9,1;2,0;x;x;x;x;x;x;x;6,4;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;A;3;Neubrandenburg II;29;27;21842;17303;79,2;2;195;17108;6508;5839;736;1301;792;149;163;40;54;31;11;13;1216;105;16;16;67;33;18;x;x
20.09.2026 20:55:38;P;3;Neubrandenburg II;29;27;21842;17303;79,2;2;1,1;98,9;38,0;34,1;4,3;7,6;4,6;0,9;1,0;0,2;0,3;0,2;0,1;0,1;7,1;0,6;0,1;0,1;0,4;0,2;0,1;x;x
20.09.2026 20:55:38;A;4;Hansestadt Rostock I;40;34;30296;22028;72,7;1;280;21748;8409;7669;1257;2106;1024;253;x;x;x;x;x;x;1030;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;P;4;Hansestadt Rostock I;40;34;30296;22028;72,7;1;1,3;98,7;38,7;35,3;5,8;9,7;4,7;1,2;x;x;x;x;x;x;4,7;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;A;4;Hansestadt Rostock I;40;34;30296;22028;72,7;2;179;21849;8190;7225;1082;2001;1256;191;275;69;61;58;13;16;1165;86;31;19;38;57;16;x;x
20.09.2026 20:55:38;P;4;Hansestadt Rostock I;40;34;30296;22028;72,7;2;0,8;99,2;37,5;33,1;5,0;9,2;5,7;0,9;1,3;0,3;0,3;0,3;0,1;0,1;5,3;0,4;0,1;0,1;0,2;0,3;0,1;x;x
20.09.2026 20:55:38;A;5;Hansestadt Rostock II;40;36;32017;23087;72,1;1;285;22802;9184;6993;934;3527;741;280;x;x;x;x;x;x;1143;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;P;5;Hansestadt Rostock II;40;36;32017;23087;72,1;1;1,2;98,8;40,3;30,7;4,1;15,5;3,2;1,2;x;x;x;x;x;x;5,0;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;A;5;Hansestadt Rostock II;40;36;32017;23087;72,1;2;188;22899;8902;6682;792;2868;1424;183;315;76;75;71;35;16;1176;86;31;27;42;77;21;x;x
20.09.2026 20:55:38;P;5;Hansestadt Rostock II;40;36;32017;23087;72,1;2;0,8;99,2;38,9;29,2;3,5;12,5;6,2;0,8;1,4;0,3;0,3;0,3;0,2;0,1;5,1;0,4;0,1;0,1;0,2;0,3;0,1;x;x
20.09.2026 20:55:38;A;6;Hansestadt Rostock III;53;45;40375;30405;75,3;1;230;30175;12583;5362;1341;7311;1559;491;x;x;x;x;x;x;1263;x;x;x;x;265;x;x;x
20.09.2026 20:55:38;P;6;Hansestadt Rostock III;53;45;40375;30405;75,3;1;0,8;99,2;41,7;17,8;4,4;24,2;5,2;1,6;x;x;x;x;x;x;4,2;x;x;x;x;0,9;x;x;x
20.09.2026 20:55:38;A;6;Hansestadt Rostock III;53;45;40375;30405;75,3;2;131;30274;10777;5298;1208;5050;5360;339;292;58;103;68;45;17;1269;80;35;49;66;141;19;x;x
20.09.2026 20:55:38;P;6;Hansestadt Rostock III;53;45;40375;30405;75,3;2;0,4;99,6;35,6;17,5;4,0;16,7;17,7;1,1;1,0;0,2;0,3;0,2;0,1;0,1;4,2;0,3;0,1;0,2;0,2;0,5;0,1;x;x
20.09.2026 20:55:38;A;7;Hansestadt Rostock IV;53;43;44770;30824;68,8;1;312;30512;11962;7967;2113;4398;2064;616;x;x;x;x;x;x;1392;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;P;7;Hansestadt Rostock IV;53;43;44770;30824;68,8;1;1,0;99,0;39,2;26,1;6,9;14,4;6,8;2,0;x;x;x;x;x;x;4,6;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;A;7;Hansestadt Rostock IV;53;43;44770;30824;68,8;2;184;30640;10860;7947;1537;3397;3968;407;328;77;122;71;41;34;1403;116;40;56;82;115;39;x;x
20.09.2026 20:55:38;P;7;Hansestadt Rostock IV;53;43;44770;30824;68,8;2;0,6;99,4;35,4;25,9;5,0;11,1;13,0;1,3;1,1;0,3;0,4;0,2;0,1;0,1;4,6;0,4;0,1;0,2;0,3;0,4;0,1;x;x
20.09.2026 20:55:38;A;8;Schwerin I;51;48;45925;37018;80,6;1;201;36817;20074;10247;1834;1640;988;332;x;352;x;x;x;x;1068;x;x;x;148;134;x;x;x
20.09.2026 20:55:38;P;8;Schwerin I;51;48;45925;37018;80,6;1;0,5;99,5;54,5;27,8;5,0;4,5;2,7;0,9;x;1,0;x;x;x;x;2,9;x;x;x;0,4;0,4;x;x;x
20.09.2026 20:55:38;A;8;Schwerin I;51;48;45925;37018;80,6;2;219;36799;13882;9773;2424;3220;4173;364;294;188;150;63;33;24;1766;128;30;19;141;100;27;x;x
20.09.2026 20:55:38;P;8;Schwerin I;51;48;45925;37018;80,6;2;0,6;99,4;37,7;26,6;6,6;8,8;11,3;1,0;0,8;0,5;0,4;0,2;0,1;0,1;4,8;0,3;0,1;0,1;0,4;0,3;0,1;x;x
20.09.2026 20:55:38;A;9;Schwerin II;28;27;26401;19577;74,2;1;217;19360;8313;7198;1053;1296;426;310;x;x;x;x;x;x;764;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;P;9;Schwerin II;28;27;26401;19577;74,2;1;1,1;98,9;42,9;37,2;5,4;6,7;2,2;1,6;x;x;x;x;x;x;3,9;x;x;x;x;x;x;x;x
20.09.2026 20:55:38;A;9;Schwerin II;28;27;26401;19577;74,2;2;188;19389;7818;6916;960;1251;917;177;149;44;50;34;11;14;884;55;13;10;47;24;15;x;x
20.09.2026 20:55:38;P;9;Schwerin II;28;27;26401;19577;74,2;2;1,0;99,0;40,3;35,7;5,0;6,5;4,7;0,9;0,8;0,2;0,3;0,2;0,1;0,1;4,6;0,3;0,1;0,1;0,2;0,1;0,1;x;x
