Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Wahlbeteiligung um 14.00 Uhr

(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Wahlkreis;Wahlkreisname;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung in %
20.09.2026 15:17:06;1;Greifswald;42;42;45895;15984;34,8
20.09.2026 15:17:06;2;Neubrandenburg I;18;18;25351;8964;35,4
20.09.2026 15:17:06;3;Neubrandenburg II;20;17;20609;7598;36,9
20.09.2026 15:17:06;4;Hansestadt Rostock I;29;29;35366;13337;37,7
20.09.2026 15:17:06;5;Hansestadt Rostock II;30;30;36323;13348;36,7
20.09.2026 15:17:06;6;Hansestadt Rostock III;37;37;43979;16006;36,4
20.09.2026 15:17:06;7;Hansestadt Rostock IV;38;38;51209;18255;35,6
20.09.2026 15:17:06;8;Schwerin I;34;34;49050;18886;38,5
20.09.2026 15:17:06;9;Schwerin II;21;21;27415;10941;39,9
20.09.2026 15:17:06;10;Wismar;28;28;33745;13635;40,4
20.09.2026 15:17:06;11;Landkreis Rostock I;50;50;45373;19353;42,7
20.09.2026 15:17:06;12;Landkreis Rostock II;61;61;50242;21856;43,5
20.09.2026 15:17:06;13;Mecklenburgische Seenplatte I - Vorpommern-Greifswald I;49;38;24332;10254;42,1
20.09.2026 15:17:06;14;Mecklenburgische Seenplatte II;49;31;21084;9423;44,7
20.09.2026 15:17:06;15;Landkreis Rostock III;60;51;32825;14750;44,9
20.09.2026 15:17:06;16;Landkreis Rostock IV;51;51;44794;19123;42,7
20.09.2026 15:17:06;17;Ludwigslust-Parchim I;59;59;32655;14276;43,7
20.09.2026 15:17:06;18;Ludwigslust-Parchim II;50;50;32807;14776;45,0
20.09.2026 15:17:06;19;Ludwigslust-Parchim III;51;51;31012;14054;45,3
20.09.2026 15:17:06;20;Mecklenburgische Seenplatte III;72;55;38072;16595;43,6
20.09.2026 15:17:06;21;Mecklenburgische Seenplatte IV;44;16;7609;3830;50,3
20.09.2026 15:17:06;22;Mecklenburgische Seenplatte V;70;66;31400;14849;47,3
20.09.2026 15:17:06;23;Vorpommern-Rügen I;50;50;34889;14534;41,7
20.09.2026 15:17:06;24;Vorpommern-Rügen II - Stralsund III;39;39;27802;12098;43,5
20.09.2026 15:17:06;25;Vorpommern-Rügen III - Stralsund I;50;50;41682;17379;41,7
20.09.2026 15:17:06;26;Stralsund II;18;18;28215;10032;35,6
20.09.2026 15:17:06;27;Nordwestmecklenburg I;70;70;47750;20013;41,9
20.09.2026 15:17:06;28;Nordwestmecklenburg II;60;60;47752;21231;44,5
20.09.2026 15:17:06;29;Vorpommern-Greifswald II;56;56;35947;14280;39,7
20.09.2026 15:17:06;30;Vorpommern-Greifswald III;59;59;46249;18061;39,1
20.09.2026 15:17:06;31;Ludwigslust-Parchim IV;54;54;36499;15679;43,0
20.09.2026 15:17:06;32;Ludwigslust-Parchim V;56;56;36504;16441;45,0
20.09.2026 15:17:06;33;Vorpommern-Rügen IV;31;31;25418;9700;38,2
20.09.2026 15:17:06;34;Vorpommern-Rügen V;31;31;28115;10107;35,9
20.09.2026 15:17:06;35;Vorpommern-Greifswald IV;44;27;18359;6864;37,4
20.09.2026 15:17:06;36;Vorpommern-Greifswald V;54;30;17524;6114;34,9
20.09.2026 15:17:06;99;Mecklenburg-Vorpommern;1635;1504;1233852;502626;40,7
