Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Vorläufiges Ergebnis der Wahlkreise am 21.09.2026 um 00:01:10 Uhr - Stimmenanzahl der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Wahlkreis;Wahlkreisname/Land;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
21.09.2026 00:01:10;A;1;Greifswald;60;60;45895;35227;76,8;1;344;34883;13728;10165;1902;5261;1842;570;x;x;446;x;x;x;969;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;1;Greifswald;60;60;45895;35227;76,8;1;1,0;99,0;39,4;29,1;5,5;15,1;5,3;1,6;x;x;1,3;x;x;x;2,8;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;1;Greifswald;60;60;45895;35227;76,8;2;269;34958;11589;9941;1703;4321;4422;510;530;90;164;50;30;30;1174;122;35;48;55;117;27;x;x
21.09.2026 00:01:10;P;1;Greifswald;60;60;45895;35227;76,8;2;0,8;99,2;33,2;28,4;4,9;12,4;12,6;1,5;1,5;0,3;0,5;0,1;0,1;0,1;3,4;0,3;0,1;0,1;0,2;0,3;0,1;x;x
21.09.2026 00:01:10;A;2;Neubrandenburg I;27;27;25351;18486;72,9;1;220;18266;6862;6921;1100;1825;431;x;x;x;x;x;x;x;982;x;x;x;145;x;x;x;x
21.09.2026 00:01:10;P;2;Neubrandenburg I;27;27;25351;18486;72,9;1;1,2;98,8;37,6;37,9;6,0;10,0;2,4;x;x;x;x;x;x;x;5,4;x;x;x;0,8;x;x;x;x
21.09.2026 00:01:10;A;2;Neubrandenburg I;27;27;25351;18486;72,9;2;162;18324;7084;6746;786;1362;591;110;186;35;33;15;7;15;1096;85;19;18;72;36;28;x;x
21.09.2026 00:01:10;P;2;Neubrandenburg I;27;27;25351;18486;72,9;2;0,9;99,1;38,7;36,8;4,3;7,4;3,2;0,6;1,0;0,2;0,2;0,1;0,0;0,1;6,0;0,5;0,1;0,1;0,4;0,2;0,2;x;x
21.09.2026 00:01:10;A;3;Neubrandenburg II;29;29;24660;18756;76,1;1;279;18477;7318;6929;1053;1684;342;x;x;x;x;x;x;x;1151;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;3;Neubrandenburg II;29;29;24660;18756;76,1;1;1,5;98,5;39,6;37,5;5,7;9,1;1,9;x;x;x;x;x;x;x;6,2;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;3;Neubrandenburg II;29;29;24660;18756;76,1;2;215;18541;6919;6585;753;1408;820;153;175;43;56;33;13;15;1294;110;20;16;69;38;21;x;x
21.09.2026 00:01:10;P;3;Neubrandenburg II;29;29;24660;18756;76,1;2;1,1;98,9;37,3;35,5;4,1;7,6;4,4;0,8;0,9;0,2;0,3;0,2;0,1;0,1;7,0;0,6;0,1;0,1;0,4;0,2;0,1;x;x
21.09.2026 00:01:10;A;4;Hansestadt Rostock I;40;40;35800;26516;74,1;1;363;26153;10063;9263;1407;2676;1214;300;x;x;x;x;x;x;1230;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;4;Hansestadt Rostock I;40;40;35800;26516;74,1;1;1,4;98,6;38,5;35,4;5,4;10,2;4,6;1,1;x;x;x;x;x;x;4,7;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;4;Hansestadt Rostock I;40;40;35800;26516;74,1;2;227;26289;9776;8722;1220;2573;1451;224;332;87;79;75;19;19;1398;106;38;23;53;73;21;x;x
21.09.2026 00:01:10;P;4;Hansestadt Rostock I;40;40;35800;26516;74,1;2;0,9;99,1;37,2;33,2;4,6;9,8;5,5;0,9;1,3;0,3;0,3;0,3;0,1;0,1;5,3;0,4;0,1;0,1;0,2;0,3;0,1;x;x
21.09.2026 00:01:10;A;5;Hansestadt Rostock II;40;40;35973;26096;72,5;1;338;25758;10412;7928;1044;3949;836;309;x;x;x;x;x;x;1280;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;5;Hansestadt Rostock II;40;40;35973;26096;72,5;1;1,3;98,7;40,4;30,8;4,1;15,3;3,2;1,2;x;x;x;x;x;x;5,0;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;5;Hansestadt Rostock II;40;40;35973;26096;72,5;2;217;25879;10101;7582;890;3199;1608;198;343;88;88;84;38;17;1318;97;36;29;52;84;27;x;x
21.09.2026 00:01:10;P;5;Hansestadt Rostock II;40;40;35973;26096;72,5;2;0,8;99,2;39,0;29,3;3,4;12,4;6,2;0,8;1,3;0,3;0,3;0,3;0,1;0,1;5,1;0,4;0,1;0,1;0,2;0,3;0,1;x;x
21.09.2026 00:01:10;A;6;Hansestadt Rostock III;53;53;43978;36849;83,8;1;290;36559;15429;6395;1673;8646;1906;617;x;x;x;x;x;x;1550;x;x;x;x;343;x;x;x
21.09.2026 00:01:10;P;6;Hansestadt Rostock III;53;53;43978;36849;83,8;1;0,8;99,2;42,2;17,5;4,6;23,6;5,2;1,7;x;x;x;x;x;x;4,2;x;x;x;x;0,9;x;x;x
21.09.2026 00:01:10;A;6;Hansestadt Rostock III;53;53;43978;36849;83,8;2;170;36679;13304;6321;1507;5997;6367;423;364;82;134;86;56;25;1528;101;40;63;81;176;24;x;x
21.09.2026 00:01:10;P;6;Hansestadt Rostock III;53;53;43978;36849;83,8;2;0,5;99,5;36,3;17,2;4,1;16,3;17,4;1,2;1,0;0,2;0,4;0,2;0,2;0,1;4,2;0,3;0,1;0,2;0,2;0,5;0,1;x;x
21.09.2026 00:01:10;A;7;Hansestadt Rostock IV;53;53;51598;40954;79,4;1;407;40547;15798;10411;2941;5893;2808;876;x;x;x;x;x;x;1820;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;7;Hansestadt Rostock IV;53;53;51598;40954;79,4;1;1,0;99,0;39,0;25,7;7,3;14,5;6,9;2,2;x;x;x;x;x;x;4,5;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;7;Hansestadt Rostock IV;53;53;51598;40954;79,4;2;229;40725;14464;10395;2102;4566;5217;588;450;112;167;93;54;42;1844;174;51;74;111;169;52;x;x
21.09.2026 00:01:10;P;7;Hansestadt Rostock IV;53;53;51598;40954;79,4;2;0,6;99,4;35,5;25,5;5,2;11,2;12,8;1,4;1,1;0,3;0,4;0,2;0,1;0,1;4,5;0,4;0,1;0,2;0,3;0,4;0,1;x;x
21.09.2026 00:01:10;A;8;Schwerin I;51;51;48992;39529;80,7;1;223;39306;21368;11066;1929;1747;1048;351;x;366;x;x;x;x;1133;x;x;x;156;142;x;x;x
21.09.2026 00:01:10;P;8;Schwerin I;51;51;48992;39529;80,7;1;0,6;99,4;54,4;28,2;4,9;4,4;2,7;0,9;x;0,9;x;x;x;x;2,9;x;x;x;0,4;0,4;x;x;x
21.09.2026 00:01:10;A;8;Schwerin I;51;51;48992;39529;80,7;2;248;39281;14862;10544;2544;3413;4377;385;315;195;162;68;33;30;1881;137;30;21;149;107;28;x;x
21.09.2026 00:01:10;P;8;Schwerin I;51;51;48992;39529;80,7;2;0,6;99,4;37,8;26,8;6,5;8,7;11,1;1,0;0,8;0,5;0,4;0,2;0,1;0,1;4,8;0,3;0,1;0,1;0,4;0,3;0,1;x;x
21.09.2026 00:01:10;A;9;Schwerin II;28;28;27340;20091;73,5;1;235;19856;8579;7306;1096;1326;453;313;x;x;x;x;x;x;783;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;9;Schwerin II;28;28;27340;20091;73,5;1;1,2;98,8;43,2;36,8;5,5;6,7;2,3;1,6;x;x;x;x;x;x;3,9;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;9;Schwerin II;28;28;27340;20091;73,5;2;206;19885;8057;7021;1006;1283;964;177;149;44;50;35;11;14;910;55;13;10;47;24;15;x;x
21.09.2026 00:01:10;P;9;Schwerin II;28;28;27340;20091;73,5;2;1,0;99,0;40,5;35,3;5,1;6,5;4,8;0,9;0,7;0,2;0,3;0,2;0,1;0,1;4,6;0,3;0,1;0,1;0,2;0,1;0,1;x;x
21.09.2026 00:01:10;A;10;Wismar;36;36;33745;25285;74,9;1;257;25028;11573;8357;1436;1622;974;388;x;x;x;x;x;x;678;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;10;Wismar;36;36;33745;25285;74,9;1;1,0;99,0;46,2;33,4;5,7;6,5;3,9;1,6;x;x;x;x;x;x;2,7;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;10;Wismar;36;36;33745;25285;74,9;2;227;25058;10450;8104;1037;1749;1828;254;222;65;65;56;18;19;938;98;22;30;38;57;8;x;x
21.09.2026 00:01:10;P;10;Wismar;36;36;33745;25285;74,9;2;0,9;99,1;41,7;32,3;4,1;7,0;7,3;1,0;0,9;0,3;0,3;0,2;0,1;0,1;3,7;0,4;0,1;0,1;0,2;0,2;0,0;x;x
21.09.2026 00:01:10;A;11;Landkreis Rostock I;60;60;45362;37086;81,8;1;367;36719;15124;13129;2482;1859;1251;521;x;x;x;x;x;x;1609;x;x;x;x;x;x;x;744
21.09.2026 00:01:10;P;11;Landkreis Rostock I;60;60;45362;37086;81,8;1;1,0;99,0;41,2;35,8;6,8;5,1;3,4;1,4;x;x;x;x;x;x;4,4;x;x;x;x;x;x;x;2,0
21.09.2026 00:01:10;A;11;Landkreis Rostock I;60;60;45362;37086;81,8;2;303;36783;13982;13025;2037;2061;2126;419;452;130;100;82;49;19;1856;182;29;46;101;36;51;x;x
21.09.2026 00:01:10;P;11;Landkreis Rostock I;60;60;45362;37086;81,8;2;0,8;99,2;38,0;35,4;5,5;5,6;5,8;1,1;1,2;0,4;0,3;0,2;0,1;0,1;5,0;0,5;0,1;0,1;0,3;0,1;0,1;x;x
21.09.2026 00:01:10;A;12;Landkreis Rostock II;73;73;50239;42599;84,8;1;412;42187;17182;14656;2902;3158;1428;875;x;x;x;x;x;x;1986;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;12;Landkreis Rostock II;73;73;50239;42599;84,8;1;1,0;99,0;40,7;34,7;6,9;7,5;3,4;2,1;x;x;x;x;x;x;4,7;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;12;Landkreis Rostock II;73;73;50239;42599;84,8;2;313;42286;16514;14172;2454;2381;2682;536;426;180;82;83;41;24;2131;212;38;76;135;76;43;x;x
21.09.2026 00:01:10;P;12;Landkreis Rostock II;73;73;50239;42599;84,8;2;0,7;99,3;39,1;33,5;5,8;5,6;6,3;1,3;1,0;0,4;0,2;0,2;0,1;0,1;5,0;0,5;0,1;0,2;0,3;0,2;0,1;x;x
21.09.2026 00:01:10;A;13;Mecklenburgische Seenplatte I - Vorpommern-Greifswald I;55;55;28846;21636;75,0;1;297;21339;5855;11555;1407;1341;x;299;x;x;x;x;x;x;882;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;P;13;Mecklenburgische Seenplatte I - Vorpommern-Greifswald I;55;55;28846;21636;75,0;1;1,4;98,6;27,4;54,1;6,6;6,3;x;1,4;x;x;x;x;x;x;4,1;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;A;13;Mecklenburgische Seenplatte I - Vorpommern-Greifswald I;55;55;28846;21636;75,0;2;235;21401;6020;11059;1072;989;496;198;201;66;34;38;12;11;1018;101;13;7;29;20;17;x;x
