"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:29:30";57;14;"GEM";"15001000";"Dessau-Roßlau, Stadt";"U";9971;5825;63;5762;914;2789;378;454;186;450;48;2;63;30;15;29;368;12;24;77;5748;1385;2973;518;405;227;147;70;;;;;23;;;;;""
"Z";"06.09.2026";"19:28:05";22;2;"GEM";"15001000";"Dessau-Roßlau, Stadt";"B";0;963;7;956;254;253;75;120;30;123;7;2;9;3;3;3;72;0;2;16;947;376;264;125;83;48;31;14;;;;;6;;;;;""
"Z";"06.09.2026";"19:29:30";79;16;"GEM";"15001000";"Dessau-Roßlau, Stadt";"";9971;6788;70;6718;1168;3042;453;574;216;573;55;4;72;33;18;32;440;12;26;93;6695;1761;3237;643;488;275;178;84;;;;;29;;;;;""
"Z";"06.09.2026";"19:20:03";126;11;"GEM";"15002000";"Halle (Saale), Stadt";"U";10080;5092;56;5036;621;1848;510;506;138;955;45;4;69;11;21;31;249;5;23;65;5027;863;1870;1107;395;159;361;37;;;;;;219;;;16;""
"Z";"06.09.2026";"19:18:43";60;2;"GEM";"15002000";"Halle (Saale), Stadt";"B";0;1195;1;1194;195;187;206;195;24;294;7;3;12;2;2;6;58;0;3;4;1191;261;190;437;113;27;101;4;;;;;;58;;;0;""
"Z";"06.09.2026";"19:20:03";186;13;"GEM";"15002000";"Halle (Saale), Stadt";"";10080;6287;57;6230;816;2035;716;701;162;1249;52;7;81;13;23;37;307;5;26;69;6218;1124;2060;1544;508;186;462;41;;;;;;277;;;16;""
"Z";"06.09.2026";"19:31:01";148;24;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"U";22148;11033;70;10963;1487;4361;976;1106;311;1664;59;14;111;134;29;81;576;11;43;77;10956;2668;4447;1632;779;279;406;;;186;;46;;474;;39;;""
"Z";"06.09.2026";"19:30:28";70;18;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"B";0;8128;26;8102;1869;1517;1013;1301;308;1289;43;11;61;91;24;74;452;10;39;43;8085;2736;1495;1535;915;294;410;;;184;;57;;410;;49;;""
"Z";"06.09.2026";"19:31:01";218;42;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"";22148;19161;96;19065;3356;5878;1989;2407;619;2953;102;25;172;225;53;155;1028;21;82;120;19041;5404;5942;3167;1694;573;816;;;370;;103;;884;;88;;""
"V";"06.09.2026";"19:03:27";3;3;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"U";1315;947;14;933;145;454;71;97;24;53;5;1;7;5;3;3;62;2;1;13;934;234;460;84;59;18;23;;;;9;;;47;;;;""
"L";;;1;0;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"19:03:27";4;3;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"";1315;947;14;933;145;454;71;97;24;53;5;1;7;5;3;3;62;2;1;13;934;234;460;84;59;18;23;;;;9;;;47;;;;""
"Z";"06.09.2026";"19:16:18";16;13;"GEM";"15081030";"Arendsee (Altmark), Stadt";"U";2407;1607;21;1586;283;742;139;116;57;114;17;5;13;3;8;4;73;3;9;27;1580;371;723;179;122;48;42;;;;20;;;75;;;;""
"L";;;1;0;"GEM";"15081030";"Arendsee (Altmark), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"19:16:18";17;13;"GEM";"15081030";"Arendsee (Altmark), Stadt";"";2407;1607;21;1586;283;742;139;116;57;114;17;5;13;3;8;4;73;3;9;27;1580;371;723;179;122;48;42;;;;20;;;75;;;;""
"Z";"06.09.2026";"19:02:23";6;5;"GEM";"15081045";"Beetzendorf";"U";1079;687;3;684;104;299;74;46;17;91;5;2;5;3;3;2;32;1;0;3;684;178;293;109;32;8;29;;;;5;;;30;;;;""
"L";;;1;0;"GEM";"15081045";"Beetzendorf";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"19:02:23";7;5;"GEM";"15081045";"Beetzendorf";"";1079;687;3;684;104;299;74;46;17;91;5;2;5;3;3;2;32;1;0;3;684;178;293;109;32;8;29;;;;5;;;30;;;;""
