"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"20:56:22";2149;1853;"LAN";"15";"Sachsen-Anhalt";"U";1383807;787294;8778;778516;114036;399565;58610;59520;18034;57328;8517;1155;8384;4129;1962;4346;39081;1436;2413;9974;777320;159796;405164;81058;52226;22296;21566;7566;591;1358;406;512;122;21730;1420;390;1119;""
"Z";"06.09.2026";"20:56:17";511;298;"LAN";"15";"Sachsen-Anhalt";"B";0;184320;997;183323;43975;42458;20834;25118;5963;25758;2384;237;1893;1288;511;1060;10668;489;687;1609;182711;61070;42303;31758;19037;6929;9987;2477;233;969;9;346;55;6519;433;247;339;""
"Z";"06.09.2026";"20:56:22";2660;2151;"LAN";"15";"Sachsen-Anhalt";"";1383807;971614;9775;961839;158011;442023;79444;84638;23997;83086;10901;1392;10277;5417;2473;5406;49749;1925;3100;11583;960031;220866;447467;112816;71263;29225;31553;10043;824;2327;415;858;177;28249;1853;637;1458;""
"Z";"06.09.2026";"20:53:06";57;54;"KRS";"15001";"Dessau-Roßlau, Stadt";"U";56604;31719;367;31352;4900;14204;2476;2784;884;2817;269;29;382;146;86;176;2041;38;120;468;31251;7720;15076;3232;2406;1338;1076;288;;;;;115;;;;;""
"Z";"06.09.2026";"20:45:46";22;20;"KRS";"15001";"Dessau-Roßlau, Stadt";"B";0;11779;73;11706;3092;2450;1202;1594;461;1694;135;15;126;56;28;56;743;19;35;147;11632;4755;2540;1531;1183;714;718;136;;;;;55;;;;;""
"Z";"06.09.2026";"20:53:06";79;74;"KRS";"15001";"Dessau-Roßlau, Stadt";"";56604;43498;440;43058;7992;16654;3678;4378;1345;4511;404;44;508;202;114;232;2784;57;155;615;42883;12475;17616;4763;3589;2052;1794;424;;;;;170;;;;;""
"Z";"06.09.2026";"20:44:58";126;97;"KRS";"15002";"Halle (Saale), Stadt";"U";129717;65981;673;65308;7935;23644;6912;6999;1759;12435;476;98;671;240;219;331;3238;100;251;754;65227;11339;23907;14858;5709;1988;4260;296;;;;;;2719;;;151;""
"Z";"06.09.2026";"20:41:03";60;41;"KRS";"15002";"Halle (Saale), Stadt";"B";0;28561;131;28430;5088;4417;3776;4650;908;7187;243;46;230;135;89;103;1414;48;96;183;28378;6976;4312;8791;3279;1090;2277;190;;;;;;1393;;;70;""
"Z";"06.09.2026";"20:44:58";186;138;"KRS";"15002";"Halle (Saale), Stadt";"";129717;94542;804;93738;13023;28061;10688;11649;2667;19622;719;144;901;375;308;434;4652;148;347;937;93605;18315;28219;23649;8988;3078;6537;486;;;;;;4112;;;221;""
"Z";"06.09.2026";"20:31:56";148;124;"KRS";"15003";"Magdeburg, Landeshauptstadt";"U";142584;70931;662;70269;8929;29016;6785;6971;1766;10083;360;112;622;972;199;587;3431;107;329;665;70266;15136;29358;11337;5063;1659;2666;;;1358;;512;;2940;;237;;""
