"Wahlkreisnummer";"Wahlkreisname";"Kreisschlüssel";"KreisfreieStadt.Landkreis";"Gemeindeschlüssel";"Gemeindename";"Verbandsgemeindeschlüssel";"Verbandsgemeindename";"Wahlbezirk";"Wahlbezirksname";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB"
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081026";"Apenburg-Winterfeld, Flecken";"5051";"Beetzendorf-Diesdorf";"000001";"Apenburg-Winterfeld, Apenburg";"U";590;433;4;429;61;209;36;37;13;26;3;0;4;1;2;2;33;2;0;4;429;80;217;51;29;9;12;;;;7;;;24;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081026";"Apenburg-Winterfeld, Flecken";"5051";"Beetzendorf-Diesdorf";"000002";"Apenburg-Winterfeld, Altensalzwedel";"U";289;221;3;218;43;107;14;25;2;8;1;0;3;1;1;0;13;0;0;4;217;63;104;20;12;2;6;;;;1;;;9;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081026";"Apenburg-Winterfeld, Flecken";"5051";"Beetzendorf-Diesdorf";"000003";"Apenburg-Winterfeld, Winterfeld";"U";436;293;7;286;41;138;21;35;9;19;1;1;0;3;0;1;16;0;1;5;288;91;139;13;18;7;5;;;;1;;;14;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081026";"Apenburg-Winterfeld, Flecken";"5051";"Beetzendorf-Diesdorf";"000026";"Briefwahl Apenburg-Winterfeld";"B";0;122;1;121;34;41;9;15;7;8;0;0;0;0;0;0;7;0;0;1;121;45;37;12;7;5;3;;;;0;;;12;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000001";"01 Arendsee, Rathaus";"U";1131;578;8;570;82;297;53;41;14;32;4;4;4;3;2;5;27;2;0;8;570;114;298;52;50;15;6;;;;5;;;30;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000002";"02 Arendsee, Haus des Gastes";"U";1098;646;5;641;120;306;54;48;40;13;8;2;5;0;1;2;39;0;3;4;642;154;305;68;48;14;17;;;;1;;;35;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000003";"03 Arendsee, Kläden";"U";156;121;1;120;23;47;9;16;5;5;2;0;1;1;0;1;8;1;1;1;120;26;42;15;19;7;1;;;;2;;;8;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000004";"04 Arendsee, Kleinau";"U";181;114;1;113;22;68;7;2;2;5;1;0;0;0;0;0;5;0;1;2;112;22;68;6;3;3;5;;;;1;;;4;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000005";"05 Arendsee, Dessau";"U";85;75;1;74;24;29;8;5;3;0;0;0;1;0;0;1;3;0;0;0;75;33;28;8;3;1;0;;;;0;;;2;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000006";"06 Arendsee, Lohne";"U";124;92;2;90;25;41;4;5;6;7;0;0;0;0;0;0;2;0;0;2;90;30;40;5;5;5;3;;;;0;;;2;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000007";"07 Arendsee, Leppin";"U";421;248;2;246;44;141;16;19;5;8;5;0;1;0;1;0;5;0;1;4;244;53;136;17;19;3;6;;;;4;;;6;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000008";"08 Arendsee, Sanne";"U";205;142;1;141;26;61;15;7;13;2;3;2;1;1;1;0;7;0;2;3;139;33;59;17;8;8;1;;;;2;;;11;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000009";"09 Arendsee, Zießau";"U";256;167;2;165;22;85;11;15;9;7;2;2;1;0;0;0;10;1;0;2;165;31;84;14;12;7;2;;;;2;;;13;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000010";"10 Arendsee, Vissum";"U";144;97;3;94;22;27;11;6;2;15;0;0;0;0;1;0;9;0;1;2;95;32;27;14;9;1;4;;;;2;;;6;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000011";"11 Arendsee, Ziemendorf";"U";127;104;2;102;13;53;5;10;4;11;0;0;1;0;1;0;4;0;0;3;101;21;48;9;12;3;2;;;;1;;;5;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000012";"12 Arendsee, Binde";"U";212;134;1;133;26;55;13;7;2;15;0;1;3;1;1;1;6;1;1;2;132;36;57;17;5;3;6;;;;2;;;6;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000013";"13 Arendsee, Fleetmark";"U";701;437;5;432;58;228;50;33;11;18;2;1;1;4;1;0;24;0;1;6;431;76;230;51;29;9;6;;;;4;;;26;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000014";"14 Arendsee, Kaulitz";"U";136;86;2;84;12;21;13;5;2;19;1;0;3;0;3;0;5;0;0;2;84;15;22;25;6;3;6;;;;4;;;3;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000015";"15 Arendsee, Mechau";"U";218;145;1;144;12;74;20;13;3;15;2;0;0;0;0;0;5;0;0;2;143;26;70;23;14;2;3;;;;0;;;5;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000016";"16 Arendsee, Rademin";"U";142;82;2;80;12;40;7;6;1;5;1;0;1;0;0;1;4;0;2;2;80;13;42;9;7;2;3;;;;0;;;4;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081030";"Arendsee (Altmark), Stadt";"0030";;"000017";"17 Arendsee, Briefwahl";"B";0;978;7;971;228;265;143;129;19;75;9;3;14;5;7;7;61;2;4;12;966;310;251;171;101;23;30;;;;20;;;60;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000004";"Beetzendorf";"U";1363;681;10;671;97;341;51;62;11;43;8;2;5;3;5;3;38;1;1;11;670;159;340;55;42;19;16;;;;8;;;31;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000005";"Beetzendorf, Hohentramm";"U";141;90;0;90;22;38;12;3;2;8;2;0;1;0;0;0;2;0;0;0;90;30;39;10;2;4;2;;;;0;;;3;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000006";"Beetzendorf, Bandau";"U";390;234;0;234;32;68;41;10;8;61;1;0;0;0;0;0;13;0;0;0;234;60;64;75;9;0;17;;;;0;;;9;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000007";"Beetzendorf, Jeeben";"U";171;113;0;113;19;53;6;14;3;7;1;2;2;1;0;1;3;1;0;1;112;34;53;7;7;1;4;;;;2;;;4;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000008";"Beetzendorf, Mellin";"U";139;91;3;88;10;54;8;6;2;4;0;0;0;0;1;0;3;0;0;1;90;19;52;7;5;1;2;;;;1;;;3;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000009";"Beetzendorf, Tangeln";"U";238;159;0;159;21;86;7;13;2;11;1;0;2;2;2;1;11;0;0;1;158;35;85;10;9;2;4;;;;2;;;11;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081045";"Beetzendorf";"5051";"Beetzendorf-Diesdorf";"000027";"Briefwahl Beetzendorf";"B";0;522;2;520;114;111;63;80;11;84;5;5;4;1;2;1;33;2;4;2;520;172;111;103;64;19;20;;;;4;;;27;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081095";"Dähre";"5051";"Beetzendorf-Diesdorf";"000010";"Dähre";"U";615;400;6;394;65;179;37;38;16;38;1;1;1;0;0;0;18;0;0;4;396;100;183;44;30;13;12;;;;0;;;14;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081095";"Dähre";"5051";"Beetzendorf-Diesdorf";"000011";"Dähre, Bonese";"U";510;317;1;316;59;154;25;22;13;25;3;0;1;0;2;0;12;0;0;1;316;85;151;27;15;17;5;;;;4;;;12;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081095";"Dähre";"5051";"Beetzendorf-Diesdorf";"000028";"Briefwahl Dähre";"B";0;182;1;181;45;36;23;33;3;14;1;0;0;0;1;0;22;3;0;2;180;66;36;23;26;5;3;;;;1;;;20;;;
"001";"Salzwedel";"15081";"Altmarkkreis Salzwedel";"15081105";"Diesdorf, Flecken";"5051";"Beetzendorf-Diesdorf";"000012";"Diesdorf";"U";1802;1047;11;1036;171;509;74;108;18;76;8;4;9;2;2;6;45;2;2;12;1035;291;500;80;77;15;21;;;;6;;;45;;;
