electiondate,land,electiondate_l1,party,vote_share,on_ballot,vote_share_l1
2014-09-14,bb,2009-09-27,afd,12.199999809265137,1,NA
2019-09-01,bb,2014-09-14,afd,23.5,1,12.199999809265137
2019-09-01,bb,2014-09-14,bsw,NA,0,NA
1990-10-14,bb,NA,cdu,29.399999618530273,1,NA
1994-09-11,bb,1990-10-14,cdu,18.700000762939453,1,29.399999618530273
1999-09-05,bb,1994-09-11,cdu,26.600000381469727,1,18.700000762939453
2004-09-19,bb,1999-09-05,cdu,19.399999618530273,1,26.600000381469727
2009-09-27,bb,2004-09-19,cdu,19.799999237060547,1,19.399999618530273
2014-09-14,bb,2009-09-27,cdu,23,1,19.799999237060547
2019-09-01,bb,2014-09-14,cdu,15.6,1,23
1990-10-14,bb,NA,fdp,6.599999904632568,1,NA
1994-09-11,bb,1990-10-14,fdp,2.200000047683716,1,6.599999904632568
1999-09-05,bb,1994-09-11,fdp,1.899999976158142,1,2.200000047683716
2004-09-19,bb,1999-09-05,fdp,3.299999952316284,1,1.899999976158142
2009-09-27,bb,2004-09-19,fdp,7.199999809265137,1,3.299999952316284
2014-09-14,bb,2009-09-27,fdp,1.5,1,7.199999809265137
2019-09-01,bb,2014-09-14,fdp,4.1,1,1.5
2019-09-01,bb,2014-09-14,fw,5,1,NA
1994-09-11,bb,1990-10-14,gru,2.9000000953674316,1,NA
1999-09-05,bb,1994-09-11,gru,1.899999976158142,1,2.9000000953674316
2004-09-19,bb,1999-09-05,gru,3.5999999046325684,1,1.899999976158142
2009-09-27,bb,2004-09-19,gru,5.699999809265137,1,3.5999999046325684
2014-09-14,bb,2009-09-27,gru,6.199999809265137,1,5.699999809265137
2019-09-01,bb,2014-09-14,gru,10.8,1,6.199999809265137
1990-10-14,bb,NA,lin,13.399999618530273,1,NA
1994-09-11,bb,1990-10-14,lin,18.700000762939453,1,13.399999618530273
1999-09-05,bb,1994-09-11,lin,23.299999237060547,1,18.700000762939453
2004-09-19,bb,1999-09-05,lin,28,1,23.299999237060547
2009-09-27,bb,2004-09-19,lin,27.200000762939453,1,28
2014-09-14,bb,2009-09-27,lin,18.600000381469727,1,27.200000762939453
2019-09-01,bb,2014-09-14,lin,10.7,1,18.600000381469727
2009-09-27,bb,2004-09-19,npd,2.5999999046325684,1,NA
2014-09-14,bb,2009-09-27,npd,2.200000047683716,1,2.5999999046325684
2019-09-01,bb,2014-09-14,npd,NA,0,2.200000047683716
2019-09-01,bb,2014-09-14,pir,0.7,1,NA
1990-10-14,bb,NA,spd,38.20000076293945,1,NA
1994-09-11,bb,1990-10-14,spd,54.099998474121094,1,38.20000076293945
1999-09-05,bb,1994-09-11,spd,39.29999923706055,1,54.099998474121094
2004-09-19,bb,1999-09-05,spd,31.899999618530273,1,39.29999923706055
2009-09-27,bb,2004-09-19,spd,33,1,31.899999618530273
2014-09-14,bb,2009-09-27,spd,31.899999618530273,1,33
2019-09-01,bb,2014-09-14,spd,26.2,1,31.899999618530273
2016-09-18,be,2011-09-18,afd,14.199999809265137,1,NA
2021-09-26,be,2016-09-18,afd,8,1,14.199999809265137
2023-02-12,be,2021-09-26,afd,9.1,1,8
2021-09-26,be,2016-09-18,bsw,NA,0,NA
2023-02-12,be,2021-09-26,bsw,NA,0,NA
1950-12-03,be,NA,cdu,24.700000762939453,1,NA
1954-12-05,be,1950-12-03,cdu,30.399999618530273,1,24.700000762939453
1958-12-07,be,1954-12-05,cdu,37.70000076293945,1,30.399999618530273
1963-02-17,be,1958-12-07,cdu,28.799999237060547,1,37.70000076293945
1967-03-12,be,1963-02-17,cdu,32.900001525878906,1,28.799999237060547
1971-03-14,be,1967-03-12,cdu,38.20000076293945,1,32.900001525878906
1975-03-02,be,1971-03-14,cdu,43.900001525878906,1,38.20000076293945
1979-03-18,be,1975-03-02,cdu,44.400001525878906,1,43.900001525878906
1981-05-10,be,1979-03-18,cdu,48,1,44.400001525878906
1985-03-10,be,1981-05-10,cdu,46.400001525878906,1,48
1989-01-29,be,1985-03-10,cdu,37.70000076293945,1,46.400001525878906
1990-12-02,be,1989-01-29,cdu,40.400001525878906,1,37.70000076293945
1995-10-22,be,1990-12-02,cdu,37.400001525878906,1,40.400001525878906
1999-10-10,be,1995-10-22,cdu,40.79999923706055,1,37.400001525878906
2001-10-21,be,1999-10-10,cdu,23.799999237060547,1,40.79999923706055
2006-09-17,be,2001-10-21,cdu,21.299999237060547,1,23.799999237060547
