"wahlkreis","wahlkreisname","wahlbeteiligung","year","gültige_erststimmen","spd_erst","cdu_erst","linke_erst","gruene_erst","fdp_erst","afd_erst","others_erst","gültige_zweitstimmen","spd_zweit","cdu_zweit","linke_zweit","gruene_zweit","fdp_zweit","afd_zweit","others_zweit"
1,"Greifswald",51.3,2011,22628,9373,5284,3395,2756,623,0,1197,22495,6199,5258,3901,3547,668,0,2922
2,"Neubrandenburg I",50.7,2011,13724,5517,3321,2987,846,296,0,757,13735,5277,2683,3127,929,271,0,1448
3,"Neubrandenburg II",51,2011,13613,5206,3486,2742,993,247,0,939,13611,5010,2943,2768,1132,302,0,1456
4,"Hansestadt Rostock I",47.1,2011,16950,5835,2987,4408,1553,348,0,1819,16987,5926,2694,4165,1647,396,0,2159
5,"Hansestadt Rostock II",49.6,2011,18952,7309,2786,5750,1785,325,0,997,19028,7265,2557,5108,1644,313,0,2141
6,"Hansestadt Rostock III",58.7,2011,26397,10957,4852,4793,3638,665,0,1492,26482,8663,4494,4777,5050,661,0,2837
7,"Hansestadt Rostock IV",49.8,2011,23161,7290,5291,5267,3797,618,0,898,23270,7126,4220,4489,3911,746,0,2778
8,"Schwerin I",58.6,2011,27516,12718,5587,4291,2580,547,0,1793,27600,10612,5319,4846,3468,657,0,2698
9,"Schwerin II",51.6,2011,15136,5713,3014,3816,954,282,0,1357,15161,6075,2630,3258,1194,318,0,1686
10,"Wismar",51,2011,17539,7767,3324,3392,1624,614,0,818,17613,8092,2807,3017,1526,493,0,1678
11,"Landkreis Rostock I",56,2011,23330,8637,5839,4140,2092,975,0,1647,23408,9153,5053,3922,2090,770,0,2420
12,"Landkreis Rostock II",59.1,2011,27243,8791,8362,5370,2529,796,0,1395,27296,9433,6759,4805,2641,818,0,2840
13,"Mecklenburgische Seenplatte I - Vorpommern-Greifswald I",46.5,2011,13925,4797,6163,0,919,337,0,1709,14245,4276,4551,2575,717,363,0,1763
14,"Mecklenburgische Seenplatte II",48.1,2011,15193,5745,5617,0,1083,713,0,2035,15743,5232,4500,3034,722,493,0,1762
15,"Landkreis Rostock III",49.3,2011,19878,6370,5749,3625,1142,523,0,2469,19850,7310,5172,3215,1209,508,0,2436
16,"Landkreis Rostock IV",47.2,2011,21363,8941,5273,3604,1540,681,0,1324,21431,8719,4790,3682,1543,524,0,2173
17,"Ludwigslust-Parchim I",52.8,2011,17263,8349,3218,2117,799,1077,0,1703,17097,7542,3229,2467,1029,624,0,2206
18,"Ludwigslust-Parchim II",55.4,2011,18553,8401,4522,2886,1077,532,0,1135,18514,7916,4094,2856,1182,523,0,1943
19,"Ludwigslust-Parchim III",54.2,2011,17585,7243,3726,3067,1807,646,0,1096,17552,7329,3613,2931,1205,594,0,1880
20,"Mecklenburgische Seenplatte III",48.9,2011,22386,8819,5795,3804,1490,728,0,1750,22262,8829,5004,3827,1616,742,0,2244
21,"Mecklenburgische Seenplatte IV",53.2,2011,18252,6056,4998,3609,1269,948,0,1372,18155,6555,4649,3272,1309,462,0,1908
22,"Mecklenburgische Seenplatte V",53.7,2011,18699,5575,6894,3368,1119,523,0,1220,18595,6441,5407,3089,1041,473,0,2144
23,"Vorpommern-Rügen I",51.2,2011,18091,5929,6118,3251,1307,599,0,887,18052,6208,5184,3206,1218,561,0,1675
24,"Vorpommern-Rügen II - Stralsund III",50.3,2011,13910,2618,6721,2784,765,217,0,805,13785,3734,5025,2571,759,292,0,1404
25,"Vorpommern-Rügen III - Stralsund I",48.7,2011,20767,5470,7007,4494,1130,762,0,1904,20804,6539,6056,4043,1228,526,0,2412
26,"Stralsund II",47.8,2011,12983,3477,4388,2340,1803,311,0,664,12984,3639,3787,2182,1445,361,0,1570
27,"Nordwestmecklenburg I",49.8,2011,22648,9168,5083,4286,2139,460,0,1512,22648,9457,4608,3723,2045,580,0,2235
28,"Nordwestmecklenburg II",54,2011,25136,9824,6562,4324,1939,706,0,1781,25278,10249,5493,4243,1982,697,0,2614
29,"Vorpommern-Greifswald II",50.6,2011,19111,4416,6111,3875,1357,1335,0,2017,19084,5694,5115,3393,1176,727,0,2979
30,"Vorpommern-Greifswald III",49.8,2011,23191,5683,7214,5378,1697,540,0,2679,23153,6524,6247,4472,1470,585,0,3855
31,"Ludwigslust-Parchim IV",53.3,2011,21103,6601,7225,3852,1236,560,0,1629,21086,7981,5720,3564,1123,467,0,2231
32,"Ludwigslust-Parchim V",55.6,2011,21075,8017,5970,3734,1423,543,0,1388,21104,8386,4823,3654,1551,608,0,2082
33,"Vorpommern-Rügen IV",44.3,2011,11884,3625,2453,2743,1044,1159,0,860,11830,3242,2608,2639,1549,568,0,1224
34,"Vorpommern-Rügen V",42.8,2011,11726,2699,2890,2812,1564,1091,0,670,11834,3020,2675,2570,1874,601,0,1094
35,"Vorpommern-Greifswald IV",53.3,2011,15595,3608,3970,3677,477,284,0,3579,15506,4208,3807,3206,571,336,0,3378
36,"Vorpommern-Greifswald V",51.7,2011,14178,3824,4188,2979,733,443,0,2011,14097,4390,3395,2931,661,315,0,2405
1,"Greifswald",62.3,2016,27552,7802,5694,3756,2600,1013,5482,1205,27613,7680,5136,3565,2835,1067,5164,2166
2,"Neubrandenburg I",59.1,2016,15316,4805,2422,3481,682,438,3488,0,15366,4752,2407,2881,516,335,3336,1139
3,"Neubrandenburg II",61.5,2016,15946,5162,3228,2670,730,597,3559,0,16052,4881,2731,2649,732,443,3365,1251
4,"Hansestadt Rostock I",58.2,2016,20874,6992,3297,3373,874,653,4763,922,20973,6805,3063,3419,888,572,4494,1732
5,"Hansestadt Rostock II",59.2,2016,22057,8013,2986,4768,1299,676,4315,0,22175,7997,2830,4055,1000,526,4107,1660
6,"Hansestadt Rostock III",70.7,2016,31554,9902,5251,6493,3625,1030,3904,1349,31680,10338,5110,5366,3803,1040,3860,2163
7,"Hansestadt Rostock IV",63.2,2016,30129,8746,5879,5871,2977,1219,5437,0,30297,9175,5188,4594,2766,1084,5228,2262
8,"Schwerin I",68.4,2016,32162,15232,4977,3212,1708,1064,4514,1455,32087,11101,6048,4389,2496,1064,4725,2264
