"wahlkreis","wahlkreisname","wahlbeteiligung","gültige_stimmen_erst","spd_erst","afd_erst","cdu_erst","linke_erst","gruene_erst","fdp_erst","others_erst","gültige_stimmen_zweit","spd_zweit","afd_zweit","cdu_zweit","linke_zweit","gruene_zweit","fdp_zweit","others_zweit"
1,"Greifswald",72.1,32322,9680,4248,5079,3263,4719,2275,3058,32410,10867,4027,4055,3196,4670,2234,3361
2,"Neubrandenburg I",67.8,17334,6001,3078,2693,3190,898,1019,455,17465,7396,2872,2007,2242,710,885,1353
3,"Neubrandenburg II",70.4,17457,5928,3084,2997,2832,973,1127,516,17658,7148,2856,2104,2060,993,993,1504
4,"Hansestadt Rostock I",66.9,23686,8864,3736,2783,3527,2202,1312,1262,23811,10254,3352,2271,2987,1637,1261,2049
5,"Hansestadt Rostock II",67,24090,9501,3166,2182,4019,2053,1326,1843,24236,10811,2865,1901,3449,1733,1220,2257
6,"Hansestadt Rostock III",80.6,34809,10646,2805,3618,7135,5801,2016,2788,34982,12340,2604,3075,5131,6285,2283,3264
7,"Hansestadt Rostock IV",74.3,36628,11013,4154,5162,5097,5619,2695,2888,36757,13428,3968,3611,4624,4753,2745,3628
8,"Schwerin I",75.2,35723,16573,3986,4230,3518,2934,2177,2305,35686,12562,4234,4316,4570,4206,2609,3189
9,"Schwerin II",66.6,17873,6892,3128,2160,2388,1155,1179,971,18020,7977,2837,1882,2028,948,1002,1346
10,"Wismar",67.1,22111,9590,2833,2746,2173,1856,1615,1298,22193,10007,2753,2314,2322,1816,1319,1662
11,"Landkreis Rostock I",73.7,32056,12335,5336,5314,3144,1841,2100,1986,32137,13300,4951,4186,2923,1935,2054,2788
12,"Landkreis Rostock II",78.6,37618,12868,6082,6266,4288,2689,3178,2247,37776,15175,5657,5230,3626,2357,2734,2997
13,"Mecklenburgische Seenplatte I - Vorpommern-Greifswald I",65.4,18563,4757,5083,4919,1853,600,888,463,18648,6280,4483,3932,1499,480,787,1187
14,"Mecklenburgische Seenplatte II",67.7,20481,7020,4627,4375,1931,430,1240,858,20491,8204,4310,3253,1740,494,1016,1474
15,"Landkreis Rostock III",70.6,27167,8955,6062,5468,2748,1237,1627,1070,27306,11062,5389,3967,2303,956,1515,2114
16,"Landkreis Rostock IV",67.6,29765,11734,5783,4989,2630,1317,2098,1214,29862,13208,5256,3534,2442,1363,1647,2412
17,"Ludwigslust-Parchim I",71.7,22984,11826,3403,2670,1989,931,1196,969,23028,11074,3294,2750,1787,1036,1242,1845
18,"Ludwigslust-Parchim II",73.8,23685,9162,3906,4494,2484,926,1831,882,23802,10356,3613,3524,2167,864,1491,1787
19,"Ludwigslust-Parchim III",72.1,22122,7370,4157,3407,2964,726,1467,2031,22254,9166,3977,2928,2115,833,1262,1973
20,"Mecklenburgische Seenplatte III",69,31265,11097,5911,6286,3608,1362,1808,1193,31384,12993,5816,4250,2927,1429,1732,2237
21,"Mecklenburgische Seenplatte IV",68.4,22824,8556,4201,3376,2739,1489,1291,1172,22873,9469,4011,2842,2307,1292,1171,1781
22,"Mecklenburgische Seenplatte V",73.5,24014,7069,5773,4418,2899,745,1321,1789,24090,9025,5387,3505,2163,761,1227,2022
23,"Vorpommern-Rügen I",70.8,24323,7388,4338,5912,2734,1310,1260,1381,24446,9864,4169,3961,2240,1133,1277,1802
24,"Vorpommern-Rügen II - Stralsund III",67.9,18247,4139,4136,6041,1735,754,1004,438,18284,6161,3926,3739,1479,702,928,1349
25,"Vorpommern-Rügen III - Stralsund I",67.7,27749,8709,6188,4855,2874,1351,1676,2096,27868,10579,5768,3947,2488,1206,1506,2374
26,"Stralsund II",69.5,19186,4901,3103,3234,2160,2109,1731,1948,19251,6460,3034,2621,1739,1921,1350,2126
27,"Nordwestmecklenburg I",70.3,32703,12527,4987,5547,4972,2003,1662,1005,32789,13972,4555,4402,3313,2379,1823,2345
28,"Nordwestmecklenburg II",72,33677,11680,6169,5548,3791,2064,2097,2328,33817,14054,5726,4480,3293,1825,1915,2524
29,"Vorpommern-Greifswald II",68.9,24542,6911,5796,4940,2101,999,2316,1479,24659,8779,5255,4137,1803,985,1523,2177
30,"Vorpommern-Greifswald III",70.8,32014,8927,8167,7395,2529,1257,1814,1925,32162,11176,7635,4982,2383,1227,1779,2980
31,"Ludwigslust-Parchim IV",69.9,25824,9073,5068,4983,2768,855,1296,1781,25892,10562,4791,3669,2462,893,1333,2182
32,"Ludwigslust-Parchim V",74.2,26692,9248,4644,4320,3149,1578,1664,2089,26839,10970,4425,3657,2786,1267,1607,2127
33,"Vorpommern-Rügen IV",67.4,16911,4628,3517,4223,1916,810,871,946,16960,6298,3340,2512,1742,788,888,1392
34,"Vorpommern-Rügen V",67.6,18542,5756,3662,4018,1998,1088,1099,921,18625,7112,3321,2763,1873,924,1129,1503
35,"Vorpommern-Greifswald IV",68.2,18376,6764,5139,2798,1497,426,887,865,18475,7200,4379,2461,1397,385,806,1847
36,"Vorpommern-Greifswald V",68.4,16806,5136,4506,3957,1546,437,788,436,16927,6480,3939,2815,1275,368,670,1380
