"wahlkreisnummer16","gemeindekennziffer","gemeindename"
"4, 5, 6, 7","13003000","Hansestadt Rostock"
"8, 9","13004000","Landeshauptstadt Schwerin"
"20","13071001","Alt Schwerin"
"14","13071002","Altenhagen"
"20","13071003","Altenhof"
"14","13071004","Altentreptow, Stadt"
"22","13071005","Ankershagen"
"14","13071006","Bartow"
"14","13071007","Basedow"
"13","13071008","Beggerow"
"22","13071009","Beseritz"
"22","13071010","Blankenhof"
"21","13071011","Blankensee"
"21","13071012","Blumenholz"
"20","13071013","Bollewick"
"13","13071014","Borrentin"
"14","13071015","Bredenfelde"
"14","13071016","Breesen"
"14","13071017","Breest"
"14","13071018","Briggow"
"22","13071019","Brunn"
"20","13071020","Buchholz"
"22","13071021","Burg Stargard, Stadt"
"14","13071022","Burow"
"20","13071023","Bütow"
"21","13071025","Carpin"
"22","13071026","Cölpin"
"13","13071027","Dargun, Stadt"
"22","13071028","Datzetal"
"13","13071029","Demmin, Hansestadt"
"14","13071030","Duckow"
"14","13071032","Faulenrost"
"21","13071033","Feldberger Seenlandschaft"
"20","13071034","Fincken"
"22","13071035","Friedland, Stadt"
"20","13071036","Fünfseen"
"22","13071037","Galenbeck"
"22","13071038","Genzkow"
"14","13071039","Gielow"
"14","13071041","Gnevkow"
"21","13071042","Godendorf"
"20","13071043","Göhren-Lebbin"
"14","13071044","Golchen"
"20","13071045","Gotthun"
"20","13071046","Grabow-Below"
"20","13071047","Grabowhöfe"
"14","13071048","Grammentin"
"14","13071049","Grapzow"
"14","13071050","Grischow"
"20","13071053","Groß Kelle"
"22","13071054","Groß Miltzow"
"22","13071055","Groß Nemerow"
"20","13071056","Groß Plasten"
"14","13071057","Groß Teetzleben"
"21","13071058","Grünow"
"14","13071059","Gültz"
"14","13071060","Gülzow"
"20","13071063","Hohen Wangelin"
"13","13071064","Hohenbollentin"
"13","13071065","Hohenmocker"
"21","13071066","Hohenzieritz"
"22","13071067","Holldorf"
"14","13071068","Ivenack"
"20","13071069","Jabel"
"14","13071070","Jürgenstorf"
"20","13071071","Kargow"
"13","13071072","Kentzlin"
"20","13071073","Kieve"
"14","13071074","Kittendorf"
"21","13071075","Klein Vielen"
"13","13071076","Kletzin"
"20","13071077","Klink"
"20","13071078","Klocksin"
"14","13071079","Knorrendorf"
"21","13071080","Kratzeburg"
"14","13071081","Kriesow"
"22","13071083","Kublank"
"14","13071084","Kummerow"
"20","13071087","Lärz"
"20","13071088","Leizen"
"13","13071089","Lindenberg"
"22","13071090","Lindetal"
"20","13071091","Ludorf"
"14","13071092","Malchin, Stadt"
"20","13071093","Malchow, Stadt"
"20","13071095","Massow"
"13","13071096","Meesiger"
"20","13071097","Melz"
"21","13071099","Mirow, Stadt"
"21","13071100","Möllenbeck"
"22","13071101","Möllenhagen"
"14","13071102","Mölln"
"20","13071103","Moltzow"
"22","13071104","Neddemin"
"22","13071105","Neetzka"
"2, 3","13071107","Neubrandenburg, Stadt"
"22","13071108","Neuenkirchen"
"14","13071109","Neukalen, Stadt"
"21","13071110","Neustrelitz, Stadt"
"22","13071111","Neverin"
"13","13071112","Nossendorf"
"20","13071113","Nossentiner Hütte"
"20","13071114","Penkow"
"22","13071115","Penzlin, Stadt"
"22","13071116","Petersdorf"
"22","13071117","Pragsdorf"
"20","13071118","Priborn"
"21","13071119","Priepert"
"14","13071120","Pripsleben"
"20","13071122","Rechlin"
"14","13071123","Ritzerow"
"20","13071124","Röbel/Müritz, Stadt"
"14","13071125","Röckwitz"
"14","13071127","Rosenow"
"13","13071128","Sarow"
"22","13071130","Schönbeck"
"13","13071131","Schönfeld"
"22","13071132","Schönhausen"
"20","13071133","Schwarz"
"14","13071135","Siedenbollentin"
"13","13071136","Siedenbrünzow"
"20","13071137","Sietow"
"20","13071138","Silz"
"13","13071139","Sommersdorf"
"22","13071140","Sponholz"
"22","13071141","Staven"
"14","13071142","Stavenhagen, Reuterstadt, Stadt"
"20","13071143","Stuer"
"20","13071144","Torgelow am See"
"22","13071145","Trollenhagen"
"14","13071146","Tützpatz"
"21","13071147","Userin"
"13","13071148","Utzedel"
"20","13071149","Varchentin"
"13","13071150","Verchen"
"20","13071152","Vipperow"
"22","13071153","Voigtsdorf"
"20","13071154","Vollrathsruhe"
"20","13071155","Walow"
"20","13071156","Waren (Müritz), Stadt"
"13","13071157","Warrenzin"
"14","13071158","Werder"
"21","13071159","Wesenberg, Stadt"
"14","13071160","Wildberg"
"22","13071161","Woggersin"
"21","13071162","Wokuhl-Dabelow"
"14","13071163","Wolde"
"22","13071164","Woldegk, Stadt"
"20","13071165","Wredenhagen"
"22","13071166","Wulkenzin"
"21","13071167","Wustrow"
"20","13071168","Zepkow"
"14","13071169","Zettemin"
"22","13071170","Zirzow"
"20","13071171","Zislow"
"20","13071172","Peenehagen"
"22","13071173","Kuckssee"
"20","13071174","Schloen-Dratow"
"13","13071751","Briefwahl Demmin-Land"
"22","13071752","Briefwahl Friedland"
"14","13071753","Briefwahl Malchin am Kummerower See"
"20","13071754","Briefwahl Malchow"
"21","13071755","Briefwahl Mecklenburgische Kleinseenplatte"
"21","13071756","Briefwahl Neustrelitz-Land"
"22","13071757","Briefwahl Neverin"
"22","13071758","Briefwahl Penzliner Land"
"20","13071759","Briefwahl Röbel-Müritz"
"20","13071760","Briefwahl Seenlandschaft Waren"
"22","13071761","Briefwahl Stargarder Land"
"14","13071762","Briefwahl Stavenhagen"
"14","13071763","Briefwahl Treptower Tollensewinkel"
"22","13071764","Briefwahl Woldegk"
"11","13072001","Admannshagen-Bargeshagen"
"11","13072002","Alt Bukow"
"15","13072003","Alt Sührkow"
"15","13072004","Altkalen"
"11","13072005","Am Salzhaff"
"11","13072006","Bad Doberan, Stadt"
"11","13072007","Bartenshagen-Parkentin"
"11","13072008","Bastorf"
"16","13072009","Baumgarten"
"15","13072010","Behren-Lübchin"
"15","13072011","Benitz"
"12","13072012","Bentwisch"
"16","13072013","Bernitt"
"11","13072014","Biendorf"
"12","13072015","Blankenhagen"
"15","13072016","Boddin"
"11","13072017","Börgerende-Rethwisch"
"15","13072018","Bröbberow"
"12","13072019","Broderstorf"
"16","13072020","Bützow, Stadt"
