wkr,party,partei,name,source
1,afd,AfD,Kevin Kurtze,https://afd-mv.de/blaue-wende-2026/#Kandidaten
1,bsw,BSW,Yannick Bauer,https://mv.bsw-vg.de/unsere-direktkandidaten/
1,cdu,CDU/CSU,Torsten Heil,https://cdu-mv.de/landtagskandidaten2026cdumv/
1,fdp,FDP,Lars Boorberg,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
1,gruene,GRÜNE,Katharina Horn,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
1,linke,LINKE,Hennis Herbst,https://kampagne26.die-linke-mv.de/direktkandidierende/
1,spd,SPD,Christian Pegel,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
2,afd,AfD,Stephan Scheel,https://afd-mv.de/blaue-wende-2026/#Kandidaten
2,bsw,BSW,Nils Vorgberger,https://mv.bsw-vg.de/unsere-direktkandidaten/
2,cdu,CDU/CSU,Yvette Schöler,https://cdu-mv.de/landtagskandidaten2026cdumv/
2,gruene,GRÜNE,Jutta Wegner,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
2,linke,LINKE,Torsten Koplin,https://kampagne26.die-linke-mv.de/direktkandidierende/
2,spd,SPD,Vanessa Freund,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
3,afd,AfD,Robert Schnell,https://afd-mv.de/blaue-wende-2026/#Kandidaten
3,bsw,BSW,Thomas Schröder,https://mv.bsw-vg.de/unsere-direktkandidaten/
3,cdu,CDU/CSU,Martin Rohloff,https://cdu-mv.de/landtagskandidaten2026cdumv/
3,gruene,GRÜNE,Carolin Roth,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
3,linke,LINKE,Toni Jaschinski,https://kampagne26.die-linke-mv.de/direktkandidierende/
3,spd,SPD,Erik von Malottki,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
4,afd,AfD,Michael Meister,https://afd-mv.de/blaue-wende-2026/#Kandidaten
4,bsw,BSW,Thomas Schneider,https://mv.bsw-vg.de/unsere-direktkandidaten/
4,cdu,CDU/CSU,Chris Günther,https://cdu-mv.de/landtagskandidaten2026cdumv/
4,fdp,FDP,Michael Weu,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
4,gruene,GRÜNE,Anja Eggert,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
4,linke,LINKE,Toralf Herzer,https://kampagne26.die-linke-mv.de/direktkandidierende/
4,spd,SPD,Ralf Mucha,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
5,afd,AfD,Helmut Schulz,https://afd-mv.de/blaue-wende-2026/#Kandidaten
5,bsw,BSW,Bernd Dittrich,https://mv.bsw-vg.de/unsere-direktkandidaten/
5,cdu,CDU/CSU,Kenny Grafenhorst,https://cdu-mv.de/landtagskandidaten2026cdumv/
5,fdp,FDP,Philipp Zischke,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
5,gruene,GRÜNE,Clemens Wloczka,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
5,linke,LINKE,Christian Albrecht,https://kampagne26.die-linke-mv.de/direktkandidierende/
5,spd,SPD,Lennart Harms,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
6,afd,AfD,Enrico Deicke,https://afd-mv.de/blaue-wende-2026/#Kandidaten
6,bsw,BSW,Sophia Zimmermann,https://mv.bsw-vg.de/unsere-direktkandidaten/
6,cdu,CDU/CSU,Patrick Tempel,https://cdu-mv.de/landtagskandidaten2026cdumv/
6,fdp,FDP,Sebastian Adler,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
6,gruene,GRÜNE,Klara Hansen,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
6,linke,LINKE,Nurgül Senli,https://kampagne26.die-linke-mv.de/direktkandidierende/
6,spd,SPD,Julian Barlen,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
7,afd,AfD,Sascha Gläser,https://afd-mv.de/blaue-wende-2026/#Kandidaten
7,bsw,BSW,Eric Giesel,https://mv.bsw-vg.de/unsere-direktkandidaten/
7,cdu,CDU/CSU,Daniel Peters,https://cdu-mv.de/landtagskandidaten2026cdumv/
7,fdp,FDP,Jenny Paula Schulze,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
7,gruene,GRÜNE,Ole Krüger,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
7,linke,LINKE,Hannes Möller,https://kampagne26.die-linke-mv.de/direktkandidierende/
