party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
spd,landes,,1,Manuela Schwesig,mv:spd:person:manuela schwesig,8,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,2,Christian Pegel,mv:spd:person:christian pegel,1,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,3,Birgit Hesse,mv:spd:person:birgit hesse,27,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,4,Till Backhaus,mv:spd:person:till backhaus,17,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,5,Stefanie Drese,mv:spd:person:stefanie drese,11,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,6,Julian Barlen,mv:spd:person:julian barlen,6,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,7,Bettina Martin,mv:spd:person:bettina martin,36,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,8,Thomas Krüger,mv:spd:person:thomas krueger,14,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,9,Nadine Julitz,mv:spd:person:nadine julitz,20,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,10,Patrick Dahlemann,mv:spd:person:patrick dahlemann,35,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,11,Christine Klingohr,mv:spd:person:christine klingohr,32,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,12,Heiko Miraß,mv:spd:person:heiko mirass,33,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,13,Mandy Pfeifer,mv:spd:person:mandy pfeifer,9,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,14,Philipp da Cunha,mv:spd:person:philipp da cunha,16,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,15,Sylva Rahm-Präger,mv:spd:person:sylva rahm-praeger,34,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,16,Tilo Gundlack,mv:spd:person:tilo gundlack,10,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,17,Beatrix Hegenkötter,mv:spd:person:beatrix hegenkoetter,26,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,18,Falko Beitz,mv:spd:person:falko beitz,30,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,19,Grit Schmelzer,mv:spd:person:grit schmelzer,15,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,20,Johannes Barsch,mv:spd:person:johannes barsch,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,21,Anna-Konstanze Schröder,mv:spd:person:anna-konstanze schroeder,13,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,22,Ralf Mucha,mv:spd:person:ralf mucha,4,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,23,Monique Wölk,mv:spd:person:monique woelk,24,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,24,Christian Brade,mv:spd:person:christian brade,31,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,25,Sandra Wandt,mv:spd:person:sandra wandt,7,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,26,Thomas Würdisch,mv:spd:person:thomas wuerdisch,25,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,27,Vanessa Freund,mv:spd:person:vanessa freund,2,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,28,Michel-Friedrich Schiefler,mv:spd:person:michel-friedrich schiefler,23,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,29,Diana Goede,mv:spd:person:diana goede,21,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,30,Christian Winter,mv:spd:person:christian winter,19,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
