list_pos,name,wkr_direct,source
1,Enrico Schult,13,https://afd-mv.de/blaue-wende-2026/
2,Thore Stein,31,https://afd-mv.de/blaue-wende-2026/
3,Michael Kasch,26,https://afd-mv.de/blaue-wende-2026/
4,Martin Schmidt,18,https://afd-mv.de/blaue-wende-2026/
5,Sandra Graf,25,https://afd-mv.de/blaue-wende-2026/
6,Jan-Phillip Tadsen,32,https://afd-mv.de/blaue-wende-2026/
7,Carlos Rodrigues,24,https://afd-mv.de/blaue-wende-2026/
8,Paul Timm,28,https://afd-mv.de/blaue-wende-2026/
9,Robert Schnell,3,https://afd-mv.de/blaue-wende-2026/
10,Alexander Tschich,19,https://afd-mv.de/blaue-wende-2026/
11,David Jenniches,,https://afd-mv.de/blaue-wende-2026/
12,Thomas Naulin,34,https://afd-mv.de/blaue-wende-2026/
13,Steffi Burmeister,15,https://afd-mv.de/blaue-wende-2026/
14,Nicole Ehlers,17,https://afd-mv.de/blaue-wende-2026/
15,Jannick Schreiber,27,https://afd-mv.de/blaue-wende-2026/
16,Tommy Thormann,33,https://afd-mv.de/blaue-wende-2026/
17,Sarah Hoge,21,https://afd-mv.de/blaue-wende-2026/
18,Christian Zorn,,https://afd-mv.de/blaue-wende-2026/
19,Kevin Kurtze,1,https://afd-mv.de/blaue-wende-2026/
20,Christian Skotnik,14,https://afd-mv.de/blaue-wende-2026/
21,Petra Federau,9,https://afd-mv.de/blaue-wende-2026/
22,Werner Moltzen,12,https://afd-mv.de/blaue-wende-2026/
23,Jarod Schilke,,https://afd-mv.de/blaue-wende-2026/
24,Dr. Stefan Stein,,https://afd-mv.de/blaue-wende-2026/
25,Jan-Michael Martin,22,https://afd-mv.de/blaue-wende-2026/
26,Peter Reizlein,16,https://afd-mv.de/blaue-wende-2026/
27,Frank Müller,20,https://afd-mv.de/blaue-wende-2026/
28,Thomas de Jesus Fernandes,11,https://afd-mv.de/blaue-wende-2026/
29,Steffen Schrauber,,https://afd-mv.de/blaue-wende-2026/
30,Nicole Halle,,https://afd-mv.de/blaue-wende-2026/
31,Andreas Nagel,,https://afd-mv.de/blaue-wende-2026/
32,Sven Jacobs,,https://afd-mv.de/blaue-wende-2026/
33,Frank Rybka,,https://afd-mv.de/blaue-wende-2026/
34,Mirko Kohls,,https://afd-mv.de/blaue-wende-2026/
35,Marko Giebner,,https://afd-mv.de/blaue-wende-2026/
36,Ulf Braum,,https://afd-mv.de/blaue-wende-2026/
37,Anita Zimmermann,,https://afd-mv.de/blaue-wende-2026/
38,Ralf Eisenhardt,,https://afd-mv.de/blaue-wende-2026/
39,Thomas Pfitzner,,https://afd-mv.de/blaue-wende-2026/
40,Hannes Franck,,https://afd-mv.de/blaue-wende-2026/
41,Marco Holter,,https://afd-mv.de/blaue-wende-2026/
42,Beatrice Schmitt-Schröder,,https://afd-mv.de/blaue-wende-2026/
43,Jan Steinfurth,23,https://afd-mv.de/blaue-wende-2026/
44,Sebastian Beyer,,https://afd-mv.de/blaue-wende-2026/
45,Helmut Schulz,5,https://afd-mv.de/blaue-wende-2026/
46,Enrico Deicke,6,https://afd-mv.de/blaue-wende-2026/
47,Mario Petersen,,https://afd-mv.de/blaue-wende-2026/
48,Birgit Wismer,,https://afd-mv.de/blaue-wende-2026/
49,Roland Korth,,https://afd-mv.de/blaue-wende-2026/
50,Philipp Prochnow,,https://afd-mv.de/blaue-wende-2026/
