list_pos,name,wkr_direct,source
1,Peter Schabbel,31,https://mv.bsw-vg.de/unsere-listenkandidaten/
2,Sabine Firnhaber,32,https://mv.bsw-vg.de/unsere-listenkandidaten/
3,Robert Koch,13,https://mv.bsw-vg.de/unsere-listenkandidaten/
4,Rica Esemann,12,https://mv.bsw-vg.de/unsere-listenkandidaten/
5,Jens Kulbatzki,9,https://mv.bsw-vg.de/unsere-listenkandidaten/
6,Meinhard Guhl,28,https://mv.bsw-vg.de/unsere-listenkandidaten/
7,Anke Stegemann,,https://mv.bsw-vg.de/unsere-listenkandidaten/
8,Silke Marschall,,https://mv.bsw-vg.de/unsere-listenkandidaten/
9,Karel Bösel,34,https://mv.bsw-vg.de/unsere-listenkandidaten/
10,Linda Csutora,10,https://mv.bsw-vg.de/unsere-listenkandidaten/
11,Eric-Helge Giesel,7,https://mv.bsw-vg.de/unsere-listenkandidaten/
12,Ulf Erichson,23,https://mv.bsw-vg.de/unsere-listenkandidaten/
13,Annette Zeugmann-Tebben,,https://mv.bsw-vg.de/unsere-listenkandidaten/
14,Daniel Fehrmann,,https://mv.bsw-vg.de/unsere-listenkandidaten/
15,Olaf Groth,,https://mv.bsw-vg.de/unsere-listenkandidaten/
16,Rainer Barabas,18,https://mv.bsw-vg.de/unsere-listenkandidaten/
17,Thomas Vetter,33,https://mv.bsw-vg.de/unsere-listenkandidaten/
18,Tim Wölfel,,https://mv.bsw-vg.de/unsere-listenkandidaten/
19,Hans-Dieter Vibrans,,https://mv.bsw-vg.de/unsere-listenkandidaten/
