list_pos,name,wkr_direct,source
1,Daniel Peters,7,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
2,Katy Hoffmeister,11,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
3,Franz-Robert Liskow,13,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
4,Sebastian Ehlers,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
5,Ann Christin von Allwörden,26,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
6,Harry Glawe,24,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
7,Marc Reinhardt,14,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
8,Jeannette von Busse,30,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
9,Torsten Renz,15,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
10,Wolfgang Waldmüller,31,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
11,Yvette Schöler,2,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
12,Thomas Grote,27,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
13,Dorin Müthel-Brenncke,9,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
14,Sandra Nachtweih,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
15,Birgit Mietzner,34,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
16,Christian Geier,18,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
17,Chris Günther,4,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
18,Veikko Hackendahl,16,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
19,Benjamin Heinke,23,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
20,Dr. Anne Ringlepp,28,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
21,Torsten Heil,1,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
22,Karin Ihde-Lütge,32,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
23,Holger Kliewe,33,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
24,Sabine Enseleit,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
25,Karoline Herrmann,19,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
26,Kenny Grafenhorst,5,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
27,Mario Schacht,12,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
28,Ivo Sieder,35,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
29,Matthias Kagel,20,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
30,Patrick Tempel,6,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
31,Kai Dröse,29,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
32,Torsten Grundke,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
33,Martin Rohloff,3,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
34,Dennis Aukstein-Scheuten,17,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
35,Marko Vonhoff,21,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
36,Dr. Antonia Riecken,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
37,Oliver Nawotke,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
38,Ulrike Mattis,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
39,Jacqueline Antony,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
40,Philipp Geib,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
41,Dietrich Wenzel,36,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf
