list_pos,name,wkr_direct,source
1,Jakob Schirmer,30,https://www.nordkurier.de/regional/mecklenburg-vorpommern/fdp-wird-von-usedomer-hochschullehrer-in-wahlkampf-gefuehrt-4297330
2,Jessica Mendle,13,https://www.nordkurier.de/regional/mecklenburg-vorpommern/fdp-wird-von-usedomer-hochschullehrer-in-wahlkampf-gefuehrt-4297330
3,Whitney Bräunig,11,https://www.nordkurier.de/regional/mecklenburg-vorpommern/fdp-wird-von-usedomer-hochschullehrer-in-wahlkampf-gefuehrt-4297330
4,Uwe Ahlers,33,https://www.nordkurier.de/regional/mecklenburg-vorpommern/fdp-wird-von-usedomer-hochschullehrer-in-wahlkampf-gefuehrt-4297330
5,Brian Kipke,23,https://www.nordkurier.de/regional/mecklenburg-vorpommern/fdp-wird-von-usedomer-hochschullehrer-in-wahlkampf-gefuehrt-4297330
6,Theodoros Weiße,18,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
7,Lia Grahl,,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
8,Kai-Uwe Richter,12,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
9,Patrick Eising,9,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
10,Lars Boorberg,1,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
11,Noah Böhringer,19,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
12,Nadine Kelm,10,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
13,Maria Ellen Schulzki,24,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
14,Dietmar Tackmann,,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
15,Markus Kersten,20,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
16,Sebastian Alms,25,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
17,Jens Kaufmann,28,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
18,Luise Vogler,27,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
19,Christian Bartelt,29,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
20,Tobias Schubert,22,https://lomazoma.com/landtagswahl-in-mv-2026-kandidaten-parteien-und-infos-zum-wahlkreis-25-vorpommern-ruegen-iii/
