list_pos,name,wkr_direct,source
1,Claudia Müller,26,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
2,Ole Krüger,7,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
3,Jutta Wegner,2,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
4,Sebastian Hüller,8,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
5,Maya Tischler,23,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
6,René Fuhrwerk,10,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
7,Anja Eggert,4,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
8,Jan van den Bosch,29,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
9,Miro Zahra,27,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
10,Thomas Mehnert,25,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
11,Claudia Tamm,28,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
12,Philipp Lübbert,17,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
13,Rhea Böhme,,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
14,Martin Sorge,,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
15,Franziska Ringe,,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
16,Clemens Wloczka,5,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
17,Klara Hansen,6,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
18,Ralf Metka,24,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
19,Diana Gashi,,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
20,Ottopeter Flettner,22,https://gruene-mv.de/landtagswahl-2026/landtagswahl-2026-unsere-kandidatinnen-2/
