list_pos,name,wkr_direct,source
1,Simone Oldenburg,27,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
2,Hennis Herbst,1,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
3,Jacqueline Bernhardt,19,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
4,Christian Albrecht,5,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
5,Wenke Brüdgam,23,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
6,Michael Noetzel,16,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
7,Sophie Tieding,,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
8,Torsten Koplin,2,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
9,Nurgül Senli,6,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
10,Salim Hemeed,9,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
11,Jeannine Rösler,29,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
12,Steffi Pulz-Debler,31,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
13,Amina Kanew,22,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
14,Julia Wenzel,,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
15,Martyna Ewa Dabrowska,34,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
16,Steffi Griffel,35,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
17,Fanny Jarmer,,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
18,Frans Hübner,33,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
19,Jutta Reinders,,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
20,Armin Latendorf,24,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
21,Toni Jaschinski,3,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
22,Jonas Löffler,25,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
23,Michael Schneider,,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
24,Gelord Opitz,18,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
25,Andre Retzlaff,30,https://www.originalsozial.de/politik/aktuelles/detail/news/simone-oldenburg-zur-spitzenkandidatin-gewaehlt/
