list_pos,name,wkr_direct,source
1,Manuela Schwesig,8,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
2,Christian Pegel,1,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
3,Birgit Hesse,27,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
4,Till Backhaus,17,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
5,Stefanie Drese,11,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
6,Julian Barlen,6,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
7,Bettina Martin,36,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
8,Thomas Krüger,14,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
9,Nadine Julitz,20,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
10,Patrick Dahlemann,35,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
11,Christine Klingohr,32,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
12,Heiko Miraß,33,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
13,Mandy Pfeifer,9,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
14,Philipp da Cunha,16,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
15,Sylva Rahm-Präger,34,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
16,Tilo Gundlack,10,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
17,Beatrix Hegenkötter,26,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
18,Falko Beitz,30,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
19,Grit Schmelzer,15,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
20,Johannes Barsch,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
21,Anna-Konstanze Schröder,13,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
22,Ralf Mucha,4,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
23,Monique Wölk,24,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
24,Christian Brade,31,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
25,Sandra Wandt,7,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
26,Thomas Würdisch,25,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
27,Vanessa Freund,2,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
28,Michel-Friedrich Schiefler,23,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
29,Diana Goede,21,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
30,Christian Winter,19,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
31,Maria Lichtermann,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
32,Dirk Stamer,12,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
33,Sylvia Bartsch,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
34,Marcel Falk,29,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
