wkr,party,partei,name,source
1,afd,AfD,Simon Lansmann,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
1,bsw,BSW,Heiko Behne,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
1,cdu,CDU/CSU,Carsten Borchert,https://www.cdulsa.de/landtagswahl-2026
1,fdp,FDP,Thomas Mothes,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
1,gruene,GRÜNE,Jascha Rihm,https://www.gruene-lsa.de/team2026/
1,linke,LINKE,Raik Ohlmeyer,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
1,spd,SPD,Dieter Diederichs,https://spdsachsenanhalt.de/wahlkreise/
2,afd,AfD,Sebastian Koch,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
2,bsw,BSW,Frank Roßband,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
2,cdu,CDU/CSU,Sandra Hietel-Heuer,https://www.cdulsa.de/landtagswahl-2026
2,fdp,FDP,Annelie Brune,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
2,gruene,GRÜNE,Tobias Kremkau,https://www.altmarkkreis-salzwedel.de/PortalData/1/Resources/landkreis/bekantmachungen/2026/07_2026/2026-07-28_Bekanntmachung_Zulassung_Wahlvorschlaege.pdf
2,linke,LINKE,Toni Klabis,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
2,spd,SPD,Skady Herkenrath,https://spdsachsenanhalt.de/wahlkreise/
3,afd,AfD,Sebastian Killinger,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
3,bsw,BSW,Holger Köhne,https://st.bsw-vg.de/landtagswahl-2026/
3,cdu,CDU/CSU,Chris Schulenburg,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
3,fdp,FDP,Gunnar Salomon,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
3,gruene,GRÜNE,Michael Dihlmann,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
3,linke,LINKE,René Schernikau,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
3,spd,SPD,Eric Böllstorf,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
4,afd,AfD,Matthias Büttner,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
4,bsw,BSW,Volkmar Gryschok,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
4,cdu,CDU/CSU,Thomas Weise,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
4,fdp,FDP,Marco Slotta,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
4,gruene,GRÜNE,Miriam Zeller,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
4,linke,LINKE,Rico Goroncy,"https://www.landkreis-stendal.de/de/datei/anzeigen/id/1283327,1037/oebk__zugelassene_kwv_wk_3_und_4.pdf"
