wkr,party,partei,name,source
3,afd,AfD,Sebastian Killinger,official:scrape_00.pdf
4,afd,AfD,Matthias Büttner,official:scrape_00.pdf
7,afd,AfD,Dirk Lassowski,official:scrape_17.pdf
8,afd,AfD,Felix Zietmann,official:scrape_17.pdf
9,afd,AfD,Thomas Schmirander,official:scrape_17.pdf
14,afd,AfD,Christian Ulrich Hecht,official:scrape_05.pdf
15,afd,AfD,Armin Friese,official:scrape_05.pdf
16,afd,AfD,Frank-Ronald Bischoff,official:scrape_05.pdf
17,afd,AfD,Dennis Möhring,official:scrape_05.pdf
22,afd,AfD,Volker Alternative für Deutschland Olenicak,official:scrape_12.pdf
23,afd,AfD,Phillipp-Anders Rau,official:scrape_12.pdf
26,afd,AfD,Burkhardt Ratzmann,official:dessau_zugelassen.pdf
27,afd,AfD,Nadine Koppehel,official:wk27_oranienbaum.pdf
28,afd,AfD,Daniel Roi,official:scrape_12.pdf
29,afd,AfD,Florian Schröder,official:scrape_26.pdf
30,afd,AfD,Reiner Kretschmann,official:scrape_27.pdf
31,afd,AfD,Andreas Gehlmann,official:scrape_27.pdf
32,afd,AfD,Dr. Hans-Thomas Tillschneider,official:scrape_26.pdf
33,afd,AfD,Daniel Wald,official:scrape_26.pdf
34,afd,AfD,Gordon Köhler,official:scrape_26.pdf
3,bsw,BSW,Holger Köhne,official:scrape_00.pdf
4,bsw,BSW,Volkmar Gryschok,official:scrape_00.pdf
7,bsw,BSW,Oliver Bart,official:scrape_17.pdf
8,bsw,BSW,Stefan Lehfeld,official:scrape_17.pdf
9,bsw,BSW,Carsten Reiche,official:scrape_17.pdf
14,bsw,BSW,Monika Gehlis,official:scrape_05.pdf
15,bsw,BSW,Maximilian Schwartz,official:scrape_05.pdf
16,bsw,BSW,Joachim Pasemann,official:scrape_05.pdf
17,bsw,BSW,Michael Reim,official:scrape_05.pdf
34,bsw,BSW,Läszlö Müller,official:scrape_26.pdf
3,cdu,CDU/CSU,Chris Schulenburg,official:scrape_00.pdf
4,cdu,CDU/CSU,Thomas Weise,official:scrape_00.pdf
7,cdu,CDU/CSU,Tim Teßmann,official:scrape_17.pdf
8,cdu,CDU/CSU,Christopher Schult,official:scrape_17.pdf
9,cdu,CDU/CSU,Guido Heuer,official:scrape_17.pdf
14,cdu,CDU/CSU,Artjom Pusch,official:scrape_05.pdf
15,cdu,CDU/CSU,Alexander Räuscher,official:scrape_05.pdf
16,cdu,CDU/CSU,Bianca Heine,official:scrape_05.pdf
17,cdu,CDU/CSU,Ulrich Thomas,official:scrape_05.pdf
22,cdu,CDU/CSU,Olaf Christlich Demokratische Union Feuerborn,official:scrape_12.pdf
23,cdu,CDU/CSU,Jonas Döhring,official:scrape_12.pdf
26,cdu,CDU/CSU,Dr. Anja Schneider,official:dessau_zugelassen.pdf
27,cdu,CDU/CSU,Karin Tschernich-Weiske,official:wk27_oranienbaum.pdf
29,cdu,CDU/CSU,Michael Scheffler,official:scrape_26.pdf
30,cdu,CDU/CSU,René Barthel,official:scrape_27.pdf
31,cdu,CDU/CSU,Matthias Redlich,official:scrape_27.pdf
32,cdu,CDU/CSU,Eva Feußner,official:scrape_26.pdf
33,cdu,CDU/CSU,Ilka Reckmann,official:scrape_26.pdf
