list_pos,name,wkr_direct,source
1,Ulrich Siegmund,,https://landtagswahl-sachsen-anhalt.de
2,Oliver Kirchner,,https://landtagswahl-sachsen-anhalt.de
3,Dr. Hans-Thomas Tillschneider,32,https://landtagswahl-sachsen-anhalt.de
4,Tobias Rausch,,https://landtagswahl-sachsen-anhalt.de
5,Gordon Köhler,34,https://landtagswahl-sachsen-anhalt.de
6,Matthias Büttner,4,https://landtagswahl-sachsen-anhalt.de
7,Dr. Jan Moldenhauer,,https://landtagswahl-sachsen-anhalt.de
8,Sebastian Koch,,https://landtagswahl-sachsen-anhalt.de
9,Jan Scharfenort,,https://landtagswahl-sachsen-anhalt.de
10,Daniel Wald,33,https://landtagswahl-sachsen-anhalt.de
11,Felix Zietmann,8,https://landtagswahl-sachsen-anhalt.de
12,Dennis Möhring,17,https://landtagswahl-sachsen-anhalt.de
13,Matthias Büttner,4,https://landtagswahl-sachsen-anhalt.de
14,Christian Hecht,14,https://landtagswahl-sachsen-anhalt.de
15,Nadine Koppehel,27,https://landtagswahl-sachsen-anhalt.de
16,Florian Schröder,29,https://landtagswahl-sachsen-anhalt.de
17,Hagen Kohl,,https://landtagswahl-sachsen-anhalt.de
18,Lothar Wähler,,https://landtagswahl-sachsen-anhalt.de
19,Simon Lansmann,,https://landtagswahl-sachsen-anhalt.de
20,Matthias Lieschke,,https://landtagswahl-sachsen-anhalt.de
21,Dirk Lassowski,7,https://landtagswahl-sachsen-anhalt.de
22,Daniel Rausch,,https://landtagswahl-sachsen-anhalt.de
23,Frank-Otto Lizureck,,https://landtagswahl-sachsen-anhalt.de
24,Christian Mertens,,https://landtagswahl-sachsen-anhalt.de
25,Andreas Best,24,https://landtagswahl-sachsen-anhalt.de
26,Margret Wendt,,https://landtagswahl-sachsen-anhalt.de
27,Ronny Kumpf,,https://landtagswahl-sachsen-anhalt.de
28,Thomas Schmirander,9,https://landtagswahl-sachsen-anhalt.de
29,Phillipp-Anders Rau,23,https://landtagswahl-sachsen-anhalt.de
30,Andreas Gehlmann,31,https://landtagswahl-sachsen-anhalt.de
31,Juliane Wähler,,https://landtagswahl-sachsen-anhalt.de
32,Fabian Lüdecke,,https://landtagswahl-sachsen-anhalt.de
33,Frank-Ronald Bischoff,16,https://landtagswahl-sachsen-anhalt.de
34,Sebastian Killinger,3,https://landtagswahl-sachsen-anhalt.de
35,Nils Reichenbach,,https://landtagswahl-sachsen-anhalt.de
36,Bernd Schwebel,,https://landtagswahl-sachsen-anhalt.de
37,Marcel Pries,,https://landtagswahl-sachsen-anhalt.de
38,Stefanie Ahlfeld-Bangemann,,https://landtagswahl-sachsen-anhalt.de
39,Michaela Kämpfert,,https://landtagswahl-sachsen-anhalt.de
40,Birgit Albrecht,,https://landtagswahl-sachsen-anhalt.de
41,Dirk Jonas,39,https://landtagswahl-sachsen-anhalt.de
42,Kai Behrens,,https://landtagswahl-sachsen-anhalt.de
43,Marcel Hahn,,https://landtagswahl-sachsen-anhalt.de
44,Mario Merten,,https://landtagswahl-sachsen-anhalt.de
45,André Frenzel,,https://landtagswahl-sachsen-anhalt.de
46,Reinhard Wernicke,,https://landtagswahl-sachsen-anhalt.de
47,Nana Posch,,https://landtagswahl-sachsen-anhalt.de
48,Burkhardt Ratzmann,26,https://landtagswahl-sachsen-anhalt.de
49,Jürgen Tender,,https://landtagswahl-sachsen-anhalt.de
50,Alexander Raue,,https://landtagswahl-sachsen-anhalt.de
51,Felix Richter,,https://landtagswahl-sachsen-anhalt.de
52,Benjamin Hellmann,,https://landtagswahl-sachsen-anhalt.de
53,Dirk Tischmeier,,https://landtagswahl-sachsen-anhalt.de
54,Ralf Miegel,,https://landtagswahl-sachsen-anhalt.de
55,Lars Witaszak,,https://landtagswahl-sachsen-anhalt.de
56,Vanessa Schade,,https://landtagswahl-sachsen-anhalt.de
57,Erik Seibicke,,https://landtagswahl-sachsen-anhalt.de
58,Uwe Arendt,,https://landtagswahl-sachsen-anhalt.de
59,Gerald Kloth,,https://landtagswahl-sachsen-anhalt.de
60,Frank Wolfin,,https://landtagswahl-sachsen-anhalt.de
