list_pos,name,wkr_direct,source
1,Thomas Schulze,5,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
2,Dr. Claudia Wittig,37,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
3,Margitta Kriebel,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
4,Michael Reim,17,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
5,John Lucas Dittrich,11,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
6,Rudenz Schramm,38,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
7,László Müller,34,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
8,Michael Benecke,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
9,Michael Fürst,8,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
10,Holger Köhne,3,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
11,Andreas Neubert,35,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
12,Maximilian Schwartz,15,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
13,Michael Deckert,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
14,Monika Gehlis,14,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
15,Oliver Bart,7,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
16,Matthias Hohmann,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
17,Frank Burgsdorf,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
18,Vinzenz Louis Mühlbach,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
19,Christine Meier,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
20,Sven Krüger,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
21,Jörg Vogt,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
22,Michael Kühne,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
23,Thomas Moritz,,https://st.bsw-vg.de/liste-zur-landtagswahl-2026-in-sachsen-anhalt-gewaehlt/
