list_pos,name,wkr_direct,source
1,Sven Schulze,12,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
2,Chris Schulenburg,3,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
3,Guido Heuer,9,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
4,Lars-Jörn Zimmer,28,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
5,Tobias Krull,11,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
6,Ulrich Thomas,17,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
7,Daniel Sturm,40,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
8,Sandra Hietel-Heuer,2,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
9,Stefan Ruland,21,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
10,Karin Tschernich-Weiske,27,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
11,Marco Tullner,36,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
12,René Barthel,30,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
13,Frank Bommersbach,34,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
14,Carsten Borchert,1,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
15,Tim Teßmann,7,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
16,Dr. Anja Schneider,26,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
17,Tim Rohne,10,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
18,Artjom Pusch,14,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
19,Elke Simon-Kuch,39,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
