list_pos,name,wkr_direct,source
1,Dr. Lydia Hüskens,10,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
2,Andreas Silbersack,37,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
3,Jörg Bernstein,26,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
4,Kathrin Tarricone,30,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
5,Guido Kosmehl,28,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
6,Dr. Maximilian Philipp,,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
7,Adrian Gusinde,9,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
8,Florian Pascal Feger,17,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
9,Marco Airoldi,23,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
10,Gunnar Salomon,3,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
11,Thomas Gürke,12,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
12,Johanna Engel,20,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
13,Annelie Brune,2,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
14,Björn Wasserthal,8,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
15,Maximilian Gludau,39,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
16,Oliver Mank,5,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
17,John Matthias Kaube,22,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
18,Dr. Frank Odemar,21,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
19,Christian Daehre,11,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
20,Daniela Tost,13,https://www.fdp-lsa.de/landesvertreterversammlung-zur-landtagswahl-2026
