list_pos,name,wkr_direct,source
1,Susan Sziborra-Seidlitz,17,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
2,Olaf Meister,13,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
3,Madeleine Linke,11,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
4,Mamad Mohamad,36,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
5,Leonie Bronkalla,26,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
6,Wolfgang Aldag,37,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
7,Beatrice Lindhorst,,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
8,Dennis Helmich,,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
9,Miriam Zeller,4,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
10,Sandra Sinner,,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
11,Friederike Larek,6,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
12,Jascha Rihm,1,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
13,Darlin Höckendorff,,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
14,Sascha Greiner,22,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
15,Lena Zehne,35,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
16,Martin Schäfer,25,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
17,Susanne Otto,32,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
18,Lennox Schrickel,16,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
19,Sandra Lüder,,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
20,Marlyn Waga,20,https://www.gruene-lsa.de/signal-fuer-aufbruch-gruenen-liste-mit-sziborra-seidlitz-an-der-spitze-beschlossen/
