list_pos,name,wkr_direct,source
1,Eva von Angern,12,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
2,Eric Roman Stehr,39,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
3,Antonia Kaloff,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
4,Hendrik Lange,35,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
5,Henriette Krebs,21,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
6,Thomas Lippmann,24,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
7,Vanessa Mertens,8,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
8,Stefan Gebhardt,30,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
9,Julia Mayer,34,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
10,René Schernikau,3,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
11,Natalie Nagel,20,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
12,Alexander Luft,14,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
13,Natalie Winzenhöller,23,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
14,Noah Biswanger,10,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
15,Sophie Manleitner,9,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
16,Raik Ohlmeyer,1,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
17,Wenke Marie Dargel,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
18,Denis Kreuzadler,5,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
19,Leila Eisfelder-Mylius,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
20,Dennis Jannack,13,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
21,Isabell Anton,29,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
22,Veit Kuhr,19,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
23,Jasmin Blume,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
24,Kay Lorenz,18,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
25,Lisa Marie Tuchen,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
26,Michael Scholz,40,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
27,Katja Käfer,16,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
28,Nicklas Kurzweil,41,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
29,Claudia Bolde,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
30,Arne Hornung,7,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
31,Anne Siebert,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
32,André Röthel,31,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
33,Nathalie Roscher,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
34,Georg Drechsler,,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
