list_pos,name,wkr_direct,source
1,Prof. Dr. Armin Willingmann,16,https://spdsachsenanhalt.de/landesliste/
2,Dr. Katja Pähle,36,https://spdsachsenanhalt.de/landesliste/
3,Dr. Andreas Schmidt,33,https://spdsachsenanhalt.de/landesliste/
4,Juliane Kleemann,4,https://spdsachsenanhalt.de/landesliste/
5,Dr. Falko Grube,11,https://spdsachsenanhalt.de/landesliste/
6,Katrin Gensecke,8,https://spdsachsenanhalt.de/landesliste/
7,Florian Fahrtmann,15,https://spdsachsenanhalt.de/landesliste/
8,Katharina Kohl,2,https://spdsachsenanhalt.de/landesliste/
9,René Wölfer,20,https://spdsachsenanhalt.de/landesliste/
10,Elrid Pasbrig,39,https://spdsachsenanhalt.de/landesliste/
11,Jens Mende,39,https://spdsachsenanhalt.de/landesliste/
12,Tina Führer,24,https://spdsachsenanhalt.de/landesliste/
13,Aick Pietschmann,30,https://spdsachsenanhalt.de/landesliste/
14,Skady Herkenrath,2,https://spdsachsenanhalt.de/landesliste/
15,Daniel Kutsche,27,https://spdsachsenanhalt.de/landesliste/
16,Larissa Wallner,26,https://spdsachsenanhalt.de/landesliste/
17,Yves Metzing,18,https://spdsachsenanhalt.de/landesliste/
18,Julia Brandt,10,https://spdsachsenanhalt.de/landesliste/
19,Tobias Böttcher,23,https://spdsachsenanhalt.de/landesliste/
20,Nadine Hillecke,17,https://spdsachsenanhalt.de/landesliste/
21,Timm Haußen,5,https://spdsachsenanhalt.de/landesliste/
22,Caroline Müller,21,https://spdsachsenanhalt.de/landesliste/
23,Julius Neumann,38,https://spdsachsenanhalt.de/landesliste/
24,Ines Seeger,34,https://spdsachsenanhalt.de/landesliste/
25,Philipp Morgner,7,https://spdsachsenanhalt.de/landesliste/
26,Prof. Dr. Christine Fuhrmann,35,https://spdsachsenanhalt.de/landesliste/
27,Ralph Blümel,13,https://spdsachsenanhalt.de/landesliste/
28,Felix Giesa,22,https://spdsachsenanhalt.de/landesliste/
29,Raphael Coccejus,32,https://spdsachsenanhalt.de/landesliste/
30,Friedrich Ruschke,31,https://spdsachsenanhalt.de/landesliste/
31,Seluan Al-Chakmakchi,19,https://spdsachsenanhalt.de/landesliste/
32,Alexander Riedle,25,https://spdsachsenanhalt.de/landesliste/
33,Danilo Pee-Moch,29,https://spdsachsenanhalt.de/landesliste/
34,Stephan Scherf,37,https://spdsachsenanhalt.de/landesliste/
35,Stefan Schneider,41,https://spdsachsenanhalt.de/landesliste/
36,Dieter Diederichs,1,https://spdsachsenanhalt.de/landesliste/
37,Christian Hausmann,12,https://spdsachsenanhalt.de/landesliste/
38,Eric Böllstorf,3,https://spdsachsenanhalt.de/landesliste/
40,Paul Kley,40,https://spdsachsenanhalt.de/landesliste/
41,Nils Johannson,14,https://spdsachsenanhalt.de/landesliste/
