party,name,birth_year,birth_place,residence,profession,source
afd,Alexander Raue,1973,Halle (Saale),Halle (Saale),Bauingenieur,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Andreas Best,1962,Coswig (Anhalt),"Coswig (Anhalt), OT Köselitz",Bauunternehmer,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Andreas Gehlmann,1974,Sangerhausen,Sangerhausen,Dipl.-Ingenieur (FH),https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Armin Friese,1953,Dillingen,Halberstadt,Mediengestalter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Benedikt Weiß,1994,Stendal,Halle (Saale),Softwareentwickler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Benjamin Hellmann,1989,Magdeburg,"Wanzleben-Börde, OT Klein Rodensleben",Montagearbeiter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Bernd Horst Schwebel,1970,Bernburg,Bernburg (Saale),Staatlich anerkannter Erzieher,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Birgit Albrecht,1965,Rathenow,"Jerichow, OT Altenklitsche",Buchhalter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Burkhardt Ratzmann,1965,Dessau,"Dessau-Roßlau, OT Rodleben",Angestellter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
afd,Christian Mertens,1991,Magdeburg,Magdeburg,Mitglied des Landtages,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
