wahlkreis,wahlkreisname,gültige_stimmen_erst,spd_erst,afd_erst,cdu_erst,linke_erst,gruene_erst,fdp_erst,bsw_erst,others_erst,gültige_stimmen_zweit,spd_zweit,afd_zweit,cdu_zweit,linke_zweit,gruene_zweit,fdp_zweit,bsw_zweit,others_zweit
1,Salzwedel,21183,2052,3743,7701,3164,970,1098,0,2455,21191,1838,3880,7675,2739,1247,1182,0,2630
2,Gardelegen-Klötze,26907,3749,5333,9779,3366,1137,1316,0,2227,26916,2767,5104,10439,2932,1103,1622,0,2949
3,Havelberg-Osterburg,21782,1493,4593,5805,2483,737,981,0,5690,21781,1578,4581,7122,2298,909,1074,0,4219
4,Stendal,21659,2564,4832,6428,2359,1008,1535,0,2933,21669,1945,4735,7324,2208,1109,1217,0,3131
5,Genthin,23831,2757,6347,7448,2460,840,1149,0,2830,23898,2020,5835,9210,2288,847,1169,0,2529
6,Burg,26767,3309,5514,10295,2962,1219,1870,0,1598,26805,2425,5464,10670,2805,1256,1657,0,2528
7,Haldensleben,22612,2618,5342,8370,2617,967,1251,0,1447,22640,2089,4926,8689,2360,961,1356,0,2259
8,Wolmirstedt,32340,2663,6674,13063,3572,1261,1885,0,3222,32378,2482,7229,11849,3396,1434,2372,0,3616
9,Oschersleben-Wanzleben,25551,3523,6266,8373,2479,851,2395,0,1664,25612,2404,5967,9594,2402,856,1736,0,2653
10,Magdeburg I,23164,2791,4607,6769,3323,1652,1544,0,2478,23200,2229,4348,7221,3010,1939,1391,0,3062
11,Magdeburg II,34141,4392,3835,9602,4806,5425,2448,0,3633,34179,3441,3762,10441,4598,5284,2501,0,4152
12,Magdeburg III,27618,2982,4552,9016,3468,3208,2009,0,2383,27658,2606,4310,9797,3167,2430,1854,0,3494
13,Magdeburg IV,31802,3242,5556,10544,3989,3143,2057,0,3271,31810,2890,5263,10952,3949,2927,2178,0,3651
14,Halberstadt,22572,1888,4806,6851,5030,750,1569,0,1678,22592,1871,4725,8468,2950,1061,1384,0,2133
15,Blankenburg,24486,4399,4936,8229,2692,1229,1559,0,1442,24550,2949,4609,9541,2428,1153,1479,0,2391
16,Wernigerode,25719,6266,4730,7818,2754,967,1612,0,1572,25748,3219,4565,10039,2567,1466,1564,0,2328
17,Quedlinburg,28104,2980,5873,9401,3488,1843,2443,0,2076,28146,2489,5539,10704,3032,1592,1960,0,2830
18,Aschersleben,21570,2008,4898,7295,2896,890,1295,0,2288,21617,1786,4801,8148,2535,796,1347,0,2204
19,Staßfurt,18850,1556,5405,6163,2308,306,2215,0,897,18885,1291,5282,6820,2007,485,1457,0,1543
20,Schönebeck,24826,3234,5608,8576,3194,779,1931,0,1504,24841,2245,5457,9957,2621,871,1451,0,2239
21,Bernburg,26117,2313,6476,9071,3477,1038,2447,0,1295,26184,1896,6164,9933,3021,952,1931,0,2287
22,Köthen,28843,1775,7250,10794,5099,939,1430,0,1556,28840,1774,6973,11097,3690,1004,1675,0,2627
23,Zerbst,24030,1771,5562,8780,3133,988,1496,0,2300,24040,1885,5381,9420,2655,933,1439,0,2327
24,Wittenberg,27086,1922,4942,14600,2273,809,0,0,2540,27093,2096,4960,11666,2535,1331,1406,0,3099
25,Jessen,26015,2456,6690,10198,3043,997,0,0,2631,26265,1668,5871,11560,2356,826,1369,0,2615
26,Dessau-Roßlau,24091,2534,4595,8927,3492,2032,2511,0,0,24207,1988,4382,9847,2710,1781,1750,0,1749
27,Dessau-Roßlau-Wittenberg,23566,2860,5252,8390,2514,1135,1471,0,1944,23709,1779,4983,9299,2281,1507,1477,0,2383
28,Bitterfeld-Wolfen,28954,2527,7720,10210,3296,1112,1773,0,2316,29009,2055,7145,11274,2846,1107,1606,0,2976
29,Saalekreis,28861,2585,7113,10162,2872,1378,2716,0,2035,28922,2136,6839,11118,2706,1224,2248,0,2651
30,Eisleben,26228,2355,7509,8469,4365,693,1866,0,971,26292,2098,6977,9657,3065,659,1554,0,2282
31,Sangerhausen,26788,2323,7219,9387,3782,854,2133,0,1090,26884,2115,6600,10416,2931,813,1614,0,2395
32,Querfurt,28074,2399,7997,9785,3993,600,2250,0,1050,28173,1951,7272,10898,2826,817,1828,0,2581
33,Merseburg,22774,2470,6576,9375,3267,1086,0,0,0,22954,1826,5626,8477,2406,952,1496,0,2171
34,Bad Dürrenberg-Saalekreis,28553,2498,7047,9903,2693,1361,2699,0,2352,28608,2044,6527,10914,2570,1295,2192,0,3066
35,Halle I,20717,1972,5015,6506,3335,1313,1429,0,1147,20780,1693,4644,7156,2646,1284,1317,0,2040
36,Halle II,29853,4714,3860,8058,4249,3946,2630,0,2396,29912,2748,3751,9401,4108,4510,2257,0,3137
37,Halle III,34638,4486,3189,7958,6013,7350,3145,0,2497,34678,3215,3166,9304,4968,8189,2499,0,3337
38,Halle IV,25809,2453,5439,9941,3354,1474,1894,0,1254,25874,2150,5137,9815,2882,1457,1971,0,2462
39,Weißenfels,23556,5447,5854,6517,1816,514,1279,0,2129,23595,2287,5951,8803,2178,770,1377,0,2229
40,Naumburg,27015,2120,6489,11385,2509,865,1539,0,2108,27024,1831,6257,11010,2653,1236,1742,0,2295
41,Zeitz,24467,2058,6627,6392,3436,829,1844,0,3281,24538,1676,6499,9085,2602,772,1578,0,2326
