Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;Wahlkreissieger/-in;
E;06.06.2021;;;;LAN;15;Sachsen-Anhalt;1788930;1079045;15348;1063697;394810;221487;116927;89475;63145;68277;33291;2888;15279;5109;475;7768;8583;1613;6238;15623;827;1062;1405;3951;3815;1649;17526;1061519;362334;231871;135421;116504;60495;70714;57527;160;1056;4518;3909;3216;2932;7564;145;3153;;;;
E;06.06.2021;;;;KRS;15001;Kreisfreie Stadt Dessau-Roßlau;65076;37903;553;37350;14988;6858;4039;3005;2846;2608;726;102;494;111;9;227;219;14;204;466;29;28;42;134;148;53;779;37124;13530;7224;5037;4213;2851;3389;880;;;;;;;;;;;;;
E;06.06.2021;;;;KRS;15002;Kreisfreie Stadt Halle (Saale);181768;112697;1453;111244;35676;16698;14604;9806;15440;8044;2389;162;1761;431;63;1400;558;73;589;1612;235;250;332;408;569;144;1680;111017;32463;17503;16951;13625;14083;9098;4496;;;;1638;;;1160;;;;;;
E;06.06.2021;;;;KRS;15003;Kreisfreie Stadt Magdeburg;183678;118150;1303;116847;38411;17683;14724;11166;12580;7924;2164;312;2535;1515;75;1231;2333;53;651;1580;194;224;303;439;575;175;1425;116725;35931;18550;15586;13407;13428;8058;2786;160;;2726;890;3216;;1757;145;85;;;;
E;06.06.2021;;;;KRS;15081;Altmarkkreis Salzwedel;68103;41934;600;41334;15535;7658;4945;3931;2048;2424;1838;101;516;109;31;287;270;22;232;879;51;39;35;172;145;66;601;41333;15119;7703;5533;4967;1788;2082;3130;;;;;;;903;;108;;;;
E;06.06.2021;;;;KRS;15082;Landkreis Anhalt-Bitterfeld;132031;77650;1478;76172;29524;18384;8607;5176;2795;4347;2551;266;1069;262;29;387;507;66;503;883;38;44;61;303;242;128;1520;76130;27643;19292;10826;5534;2746;4296;5793;;;;;;;;;;;;;
E;06.06.2021;;;;KRS;15083;Landkreis Börde;140579;88513;1110;87403;32711;19448;8884;7649;3553;5844;2907;267;1253;526;36;572;824;46;507;1397;35;74;95;346;293;136;1253;87260;32167;19655;9665;9638;3398;5863;4782;;;742;;;;1148;;202;;;;
E;06.06.2021;;;;KRS;15084;Burgenlandkreis;145095;81572;852;80720;31156;20118;7926;6223;2933;5041;1932;303;876;258;40;774;523;71;429;1255;30;68;66;327;249;122;1003;80569;26364;20514;8405;10125;2332;5132;4017;;;179;1381;;;;;2120;0;0;;
E;06.06.2021;;;;KRS;15085;Landkreis Harz;179097;105100;1280;103820;39796;20068;11320;10726;5392;6525;3228;231;1356;347;27;606;672;64;634;1832;54;75;100;330;308;129;1439;103661;33212;20953;14310;15750;4893;7302;6142;;;;;;13;883;;203;;;;
E;06.06.2021;;;;KRS;15086;Landkreis Jerichower Land;74771;46439;823;45616;18062;9598;4723;4252;1981;2649;1230;114;830;188;21;246;328;30;259;565;15;31;44;156;141;153;947;45492;16545;9982;5055;5834;2063;2916;1178;;1056;;;;;682;;181;;;;
E;06.06.2021;;;;KRS;15087;Landkreis Mansfeld-Südharz;113186;66430;1279;65151;24430;16794;7237;5133;1785;3932;984;208;783;224;23;451;386;890;453;826;26;27;45;256;183;75;1469;64961;21652;18107;9603;5653;1850;4908;451;;;145;;;2592;;;;;;;
E;06.06.2021;;;;KRS;15088;Saalekreis;152344;95964;1395;94569;36057;22537;9118;6930;3900;6843;2352;289;1227;489;39;564;559;145;631;1760;43;68;116;423;339;140;1741;94223;34482;24727;11107;8772;4080;6475;3605;;;726;;;249;;;;;;;
E;06.06.2021;;;;KRS;15089;Salzlandkreis;157091;86457;1164;85293;32549;20173;9497;6698;2904;5861;2289;198;1240;352;25;393;737;54;553;960;35;53;82;294;202;144;1311;85146;29069;20862;11147;8599;2827;7580;4645;;;;;;78;339;;;;;;
E;06.06.2021;;;;KRS;15090;Landkreis Stendal;91642;55059;805;54254;18531;12132;5460;4254;2389;2841;5660;95;598;125;20;275;309;34;267;753;31;33;36;148;184;79;815;54244;15572;12544;5911;4828;2034;3022;9595;;;;;;;692;;46;;;;
E;06.06.2021;;;;KRS;15091;Landkreis Wittenberg;104469;65177;1253;63924;27384;13338;5843;4526;2599;3394;3041;240;741;172;37;355;358;51;326;855;11;48;48;215;237;105;1543;63634;28585;14255;6285;5559;2122;593;6027;;;;;;;;;208;;;;
E;06.06.2021;;;;WKR;01;Salzwedel;35305;21451;260;21191;7675;3880;2739;1838;1247;1182;1112;45;245;66;23;128;131;11;108;560;30;8;13;68;59;23;268;21183;7701;3743;3164;2052;970;1098;1908;;;;;;;547;;;;;Borchert, Carsten (CDU);
E;06.06.2021;;;;WKR;02;Gardelegen-Klötze;43899;27364;448;26916;10439;5104;2932;2767;1103;1622;925;78;383;70;10;268;201;18;171;428;23;45;32;134;106;57;457;26907;9779;5333;3366;3749;1137;1316;1619;;;;;;;467;;141;;;Hietel, Sandra (CDU);
E;06.06.2021;;;;WKR;03;Havelberg-Osterburg;36187;22108;327;21781;7122;4581;2298;1578;909;1074;3219;37;177;35;6;98;109;12;95;280;5;11;9;55;50;21;326;21782;5805;4593;2483;1493;737;981;5452;;;;;;;238;;;;;Schulenburg, Chris (CDU);
E;06.06.2021;;;;WKR;04;Stendal;37819;21971;302;21669;7324;4735;2208;1945;1109;1217;1771;35;295;52;13;123;133;14;110;334;16;14;23;57;103;38;312;21659;6428;4832;2359;2564;1008;1535;2613;;;;;;;320;;;;;Schüßler, Xenia Sabrina (CDU);
E;06.06.2021;;;;WKR;05;Genthin;40465;24343;445;23898;9210;5835;2288;2020;847;1169;1119;66;301;79;9;111;144;17;143;304;14;15;17;78;70;42;512;23831;7448;6347;2460;2757;840;1149;2329;;;;;;;274;;227;;;Staudt, Thomas (CDU);
E;06.06.2021;;;;WKR;06;Burg;43158;27278;473;26805;10670;5464;2805;2425;1256;1657;599;59;566;129;9;159;205;19;145;344;9;22;23;89;89;62;511;26767;10295;5514;2962;3309;1219;1870;;;1056;;;;;542;;;;;Kurze, Markus (CDU);
E;06.06.2021;;;;WKR;07;Haldensleben;37908;22939;299;22640;8689;4926;2360;2089;961;1356;655;84;312;89;10;140;180;7;144;385;10;16;18;90;81;38;327;22612;8370;5342;2617;2618;967;1251;984;;;;;;;463;;;;;Teßmann, Tim (CDU);
E;06.06.2021;;;;WKR;08;Wolmirstedt;49336;32800;422;32378;11849;7229;3396;2482;1434;2372;1128;85;452;313;16;206;322;18;157;544;12;30;50;128;117;38;460;32340;13063;6674;3572;2663;1261;1885;1737;;;742;;;;574;;169;;;Stahlknecht, Holger (CDU);
E;06.06.2021;;;;WKR;09;Oschersleben-Wanzleben;42234;25893;281;25612;9594;5967;2402;2404;856;1736;925;76;377;97;8;117;260;14;159;359;11;14;17;98;75;46;342;25551;8373;6266;2479;3523;851;2395;1664;;;;;;;;;;;;Heuer, Guido (CDU);
E;06.06.2021;;;;WKR;10;Magdeburg I;40682;23537;337;23200;7221;4348;3010;2229;1939;1391;417;99;442;407;21;233;626;17;134;281;32;27;79;83;133;31;373;23164;6769;4607;3323;2791;1652;1544;518;72;;824;;751;;313;;;;;Stehli, Stephen Gerhard (CDU);
E;06.06.2021;;;;WKR;11;Magdeburg II;49701;34461;282;34179;10441;3762;4598;3441;5284;2501;660;48;728;490;21;442;456;13;146;482;94;105;112;113;192;50;320;34141;9602;3835;4806;4392;5425;2448;809;;;1052;510;506;;526;145;85;;;Krull, Tobias (CDU);
E;06.06.2021;;;;WKR;12;Magdeburg III;44235;27987;329;27658;9797;4310;3167;2606;2430;1854;517;94;797;201;12;267;580;11;213;400;36;42;51;114;119;40;369;27618;9016;4552;3468;2982;3208;2009;717;88;;;;1092;;486;;;;;Keding, Anne-Marie (CDU);
E;06.06.2021;;;;WKR;13;Magdeburg IV;49060;32165;355;31810;10952;5263;3949;2890;2927;2178;570;71;568;417;21;289;671;12;158;417;32;50;61;129;131;54;363;31802;10544;5556;3989;3242;3143;2057;742;;;850;380;867;;432;;;;;Schumann, Andreas (CDU);
E;06.06.2021;;;;WKR;14;Halberstadt;40937;22883;291;22592;8468;4725;2950;1871;1061;1384;623;43;295;68;6;111;166;3;114;453;14;23;16;80;80;38;311;22572;6851;4806;5030;1888;750;1569;1040;;;;;;;435;;203;;;Krüger, Thomas (CDU);
E;06.06.2021;;;;WKR;15;Blankenburg;40698;24815;265;24550;9541;4609;2428;2949;1153;1479;739;43;324;101;9;159;145;22;164;439;18;16;28;85;70;29;329;24486;8229;4936;2692;4399;1229;1559;1442;;;;;;;;;;;;Räuscher, Alexander (CDU);
E;06.06.2021;;;;WKR;16;Wernigerode;42693;26075;327;25748;10039;4565;2567;3219;1466;1564;681;78;334;85;5;141;151;21;164;455;16;12;27;65;63;30;356;25719;7818;4730;2754;6266;967;1612;1124;;;;;;;448;;;;;Gorr, Angela (CDU);
E;06.06.2021;;;;WKR;17;Quedlinburg;50261;28515;369;28146;10704;5539;3032;2489;1592;1960;998;62;375;81;6;186;202;14;180;453;6;24;28;96;88;31;411;28104;9401;5873;3488;2980;1843;2443;2076;;;;;;;;;;;;Thomas, Ulrich (CDU);
E;06.06.2021;;;;WKR;18;Aschersleben;38854;21922;305;21617;8148;4801;2535;1786;796;1347;892;58;277;83;7;93;134;93;124;255;4;13;18;84;44;25;352;21570;7295;4898;2896;2008;890;1295;2033;;;;;;255;;;;;;Gürth, Detlef (CDU);
