Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;
E;06.06.2021;;;;GEM;15001000;Stadt Dessau-Roßlau;65076;37903;553;37350;14988;6858;4039;3005;2846;2608;726;102;494;111;9;227;219;14;204;466;29;28;42;134;148;53;779;37124;13530;7224;5037;4213;2851;3389;880;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15002000;Stadt Halle (Saale);181768;112697;1453;111244;35676;16698;14604;9806;15440;8044;2389;162;1761;431;63;1400;558;73;589;1612;235;250;332;408;569;144;1680;111017;32463;17503;16951;13625;14083;9098;4496;;;;1638;;;1160;;;;;
E;06.06.2021;;;;GEM;15003000;Landeshauptstadt Magdeburg;183678;118150;1303;116847;38411;17683;14724;11166;12580;7924;2164;312;2535;1515;75;1231;2333;53;651;1580;194;224;303;439;575;175;1425;116725;35931;18550;15586;13407;13428;8058;2786;160;;2726;890;3216;;1757;145;85;;;
E;06.06.2021;;;;GEM;15081026;Gemeinde Flecken Apenburg-Winterfeld;1364;931;4;927;342;195;87;94;32;55;51;10;6;5;0;5;4;2;5;23;0;2;1;3;4;1;6;925;367;182;91;101;33;40;76;;;;;;;35;;;;;
E;06.06.2021;;;;GEM;15081030;Stadt Arendsee (Altmark);5558;3509;54;3455;1207;634;496;295;175;205;223;12;34;10;1;13;15;2;15;86;7;1;2;9;10;3;58;3451;1189;626;521;329;172;262;266;;;;;;;86;;;;;
E;06.06.2021;;;;GEM;15081045;Gemeinde Beetzendorf;2594;1539;17;1522;529;270;164;129;123;78;62;3;19;3;0;13;4;1;8;101;2;0;3;3;7;0;15;1524;578;275;182;140;112;73;85;;;;;;;79;;;;;
E;06.06.2021;;;;GEM;15081095;Gemeinde Dähre;1200;734;5;729;287;130;67;69;43;49;22;1;6;7;0;7;5;0;4;29;0;0;0;1;1;1;8;726;281;130;78;83;40;36;45;;;;;;;33;;;;;
E;06.06.2021;;;;GEM;15081105;Gemeinde Flecken Diesdorf;1862;1106;9;1097;437;199;104;118;67;60;28;1;20;5;1;6;7;0;3;29;2;1;0;5;3;1;9;1097;476;186;115;134;48;59;47;;;;;;;32;;;;;
E;06.06.2021;;;;GEM;15081135;Hansestadt Gardelegen;18329;11268;185;11083;4219;2119;1177;1236;419;687;388;23;163;26;5;89;87;9;89;166;9;22;15;63;46;26;182;11086;3963;2159;1210;1861;397;528;748;;;;;;;169;;51;;;
E;06.06.2021;;;;GEM;15081225;Gemeinde Jübar;1316;946;13;933;393;175;82;88;42;61;23;3;12;3;0;6;5;1;13;21;0;0;0;2;3;0;12;934;524;134;67;87;19;51;41;;;;;;;11;;;;;
E;06.06.2021;;;;GEM;15081240;Stadt Kalbe (Milde);6173;3807;71;3736;1490;720;468;301;169;203;135;7;46;7;1;33;25;1;13;58;9;4;3;20;17;6;68;3739;1392;751;535;381;215;181;182;;;;;;;61;;41;;;
E;06.06.2021;;;;GEM;15081280;Stadt Klötze;8296;5408;84;5324;2151;939;561;556;213;352;203;26;62;10;2;37;27;1;22;95;3;5;4;21;23;11;83;5325;2063;1050;624;673;206;275;292;;;;;;;126;;16;;;
E;06.06.2021;;;;GEM;15081290;Gemeinde Kuhfelde;879;572;6;566;234;95;62;37;31;40;20;1;10;0;7;3;5;1;4;12;1;0;0;1;1;1;6;566;237;108;61;44;21;40;47;;;;;;;8;;;;;
E;06.06.2021;;;;GEM;15081440;Gemeinde Rohrberg;879;587;11;576;192;138;59;63;27;27;25;2;6;2;0;1;1;0;5;20;0;1;0;4;3;0;11;576;233;135;49;71;26;17;32;;;;;;;13;;;;;
E;06.06.2021;;;;GEM;15081455;Hansestadt Salzwedel;18935;11058;136;10922;3870;1954;1580;907;668;567;642;12;130;31;10;73;81;4;51;234;18;3;7;40;25;15;136;10922;3624;1878;1951;1032;469;489;1231;;;;;;;248;;;;;
E;06.06.2021;;;;GEM;15081545;Gemeinde Wallstawe;718;469;5;464;184;90;38;38;39;40;16;0;2;0;4;1;4;0;0;5;0;0;0;0;2;1;7;462;192;89;49;31;30;31;38;;;;;;;2;;;;;
E;06.06.2021;;;;GEM;15082005;Stadt Aken (Elbe);6410;3868;61;3807;1568;853;447;275;134;225;111;17;44;7;0;19;12;2;22;36;1;2;1;11;14;6;75;3793;1483;864;661;282;108;212;183;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082015;Stadt Bitterfeld-Wolfen;31626;16522;299;16223;6063;4094;1733;1234;686;827;485;48;264;58;7;108;99;14;140;169;8;8;15;87;61;15;310;16212;5543;4522;2011;1499;721;1012;904;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082180;Stadt Köthen (Anhalt);20593;10919;250;10669;3936;2236;1775;727;446;595;240;39;131;35;7;64;73;4;66;151;7;13;12;46;40;26;214;10705;3900;2260;2672;583;378;457;455;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082241;Gemeinde Muldestausee;9977;6526;96;6430;2607;1595;549;385;248;409;228;21;102;25;6;27;34;6;38;74;2;6;8;34;14;12;133;6393;2364;1698;678;417;271;395;570;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082256;Gemeinde Osternienburger Land;7120;4301;112;4189;1697;1043;530;242;115;244;71;24;53;19;0;19;29;5;17;39;3;2;3;17;6;11;84;4217;1840;1068;583;243;114;219;150;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082301;Stadt Raguhn-Jeßnitz;7701;4950;81;4869;1787;1412;479;297;142;280;118;32;83;18;2;18;50;2;41;64;1;1;6;14;12;10;93;4857;1658;1542;530;458;142;279;248;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082340;Stadt Sandersdorf-Brehna;12298;7886;127;7759;3151;1884;741;522;250;483;215;22;140;26;1;42;53;8;52;97;3;1;2;28;28;10;166;7720;2912;1993;897;731;244;490;453;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082377;Stadt Südliches Anhalt;11079;7020;148;6872;2767;1730;887;365;168;391;197;34;74;21;1;28;39;3;33;66;3;5;2;24;20;14;132;6888;2872;1750;1219;317;148;299;283;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082430;Stadt Zerbst/Anhalt;17494;10531;204;10327;3888;2370;1094;830;435;597;536;16;113;35;5;37;72;14;66;120;7;4;6;29;35;18;208;10323;3316;2390;1187;707;473;662;1588;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082440;Stadt Zörbig;7733;5127;100;5027;2060;1167;372;299;171;296;350;13;65;18;0;25;46;8;28;67;3;2;6;13;12;6;105;5022;1755;1205;388;297;147;271;959;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083020;Gemeinde Altenhausen;908;616;7;609;237;127;77;55;20;35;14;3;3;2;0;3;8;0;3;19;0;0;0;1;2;0;5;611;231;133;86;55;23;38;20;;;;;;;25;;;;;
E;06.06.2021;;;;GEM;15083025;Gemeinde Am Großen Bruch;1726;1091;8;1083;428;274;89;118;23;74;31;3;9;1;0;4;8;0;3;8;0;1;1;5;0;3;9;1082;345;277;83;232;19;85;41;;;;;;;;;;;;
